### ChExMix output
#Condition	Name	Index	TotalSigCount	SigCtrlScaling	SignalFraction
#Condition	SAMPLE	0	878940.0	5.630	0.173
#Replicate	ParentCond	Name	Index	SigCount	CtrlCount	CtrlScaling	SignalFraction
#Replicate	SAMPLE	SAMPLE:1	0	878940.0	291723.0	5.630	0.173
#
#Point	SAMPLE_Sig	SAMPLE_Ctrl	SAMPLE_log2Fold	SAMPLE_log2Q	Subtype0+-Point	Subtype0+-Tau	Subtype0+-Sequence	Subtype0+-MotifScore	Subtype0--Point	Subtype0--Tau	Subtype0--Sequence	Subtype0--MotifScore
chrec2:693896	5404.5	46.9	4.355	-Infinity	chrec2:693896:+	1.00		0.00	chrec2:693866:-	0.00		0.00
chrec2:4375290	3365.5	68.4	3.128	-Infinity	chrec2:4375260:+	0.00		0.00	chrec2:4375290:-	1.00		0.00
chrec2:3772893	3335.7	102.5	2.531	-Infinity	chrec2:3772863:+	0.00		0.00	chrec2:3772893:-	1.00		0.00
chrec2:3327594	3258.1	137.6	2.073	-Infinity	chrec2:3327594:+	1.00		0.00	chrec2:3327564:-	0.00		0.00
chrec2:494295	3109.5	44.2	3.645	-Infinity	chrec2:494265:+	0.00		0.00	chrec2:494295:-	1.00		0.00
chrec2:12043	3086.4	127.4	2.106	-Infinity	chrec2:12062:+	0.00		0.00	chrec2:12043:-	1.00		0.00
chrec2:458032	2876.2	77.1	2.728	-Infinity	chrec2:458051:+	0.00		0.00	chrec2:458032:-	1.00		0.00
chrec2:1864326	2722.8	56.7	3.092	-Infinity	chrec2:1864296:+	0.00		0.00	chrec2:1864326:-	1.00		0.00
chrec2:663133	1873.4	32.2	3.369	-Infinity	chrec2:663133:+	1.00		0.00	chrec2:663103:-	0.00		0.00
chrec2:1341849	1316.5	18.0	3.702	-888.071	chrec2:1341819:+	0.00		0.00	chrec2:1341849:-	1.00		0.00
chrec2:4373277	1845.8	56.5	2.538	-860.795	chrec2:4373247:+	0.00		0.00	chrec2:4373277:-	1.00		0.00
chrec2:1029151	1319.9	29.9	2.972	-728.674	chrec2:1029121:+	0.00		0.00	chrec2:1029151:-	1.00		0.00
chrec2:4111315	1356.7	34.9	2.789	-700.625	chrec2:4111315:+	1.00		0.00	chrec2:4111323:-	0.00		0.00
chrec2:3995171	1655.5	59.7	2.300	-685.784	chrec2:3995141:+	0.00		0.00	chrec2:3995171:-	1.00		0.00
chrec2:1385778	860.2	11.9	3.681	-576.595	chrec2:1385748:+	0.00		0.00	chrec2:1385778:-	1.00		0.00
chrec2:3514327	1582.8	85.1	1.725	-449.894	chrec2:3514346:+	0.00		0.00	chrec2:3514327:-	1.00		0.00
chrec2:1122612	943.7	31.2	2.424	-417.305	chrec2:1122612:+	1.00		0.00	chrec2:1122582:-	0.00		0.00
chrec2:2749409	1107.5	45.3	2.120	-415.524	chrec2:2749409:+	1.00		0.00	chrec2:2749379:-	0.00		0.00
chrec2:2732866	1194.3	53.0	2.002	-414.775	chrec2:2732866:+	1.00		0.00	chrec2:2732836:-	0.00		0.00
chrec2:922328	656.5	13.4	3.117	-380.567	chrec2:922298:+	0.00		0.00	chrec2:922328:-	1.00		0.00
chrec2:517515	597.2	13.4	2.988	-330.521	chrec2:517511:+	0.00		0.00	chrec2:517515:-	1.00		0.00
chrec2:455824	769.3	34.1	2.001	-266.615	chrec2:455815:+	0.00		0.00	chrec2:455824:-	1.00		0.00
chrec2:3486240	474.9	12.3	2.775	-243.427	chrec2:3486210:+	0.00		0.00	chrec2:3486240:-	1.00		0.00
chrec2:12117	921.5	63.5	1.365	-186.082	chrec2:12087:+	0.00		0.00	chrec2:12117:-	1.00		0.00
chrec2:1445228	345.7	8.6	2.834	-181.115	chrec2:1445228:+	1.00		0.00	chrec2:1445198:-	0.00		0.00
chrec2:4435757	320.0	7.2	2.973	-176.401	chrec2:4435727:+	0.00		0.00	chrec2:4435757:-	1.00		0.00
chrec2:63594	454.0	19.4	2.056	-162.717	chrec2:63594:+	1.00		0.00	chrec2:63564:-	0.00		0.00
chrec2:4404074	992.0	82.1	1.102	-142.653	chrec2:4404044:+	0.00		0.00	chrec2:4404074:-	1.00		0.00
chrec2:4165609	1471.1	144.9	0.851	-138.076	chrec2:4165579:+	0.00		0.00	chrec2:4165609:-	1.00		0.00
chrec2:2170166	237.5	4.8	3.133	-135.712	chrec2:2170136:+	0.00		0.00	chrec2:2170166:-	1.00		0.00
chrec2:2780937	220.6	5.9	2.721	-110.329	chrec2:2780937:+	1.00		0.00	chrec2:2780907:-	0.00		0.00
chrec2:3211336	636.7	52.6	1.105	-91.477	chrec2:3211306:+	0.00		0.00	chrec2:3211336:-	1.00		0.00
chrec2:1332687	342.6	20.1	1.598	-86.362	chrec2:1332657:+	0.00		0.00	chrec2:1332687:-	1.00		0.00
chrec2:4094963	338.4	23.4	1.360	-68.218	chrec2:4094963:+	1.00		0.00	chrec2:4094933:-	0.00		0.00
chrec2:2926577	324.4	22.2	1.379	-66.733	chrec2:2926547:+	0.00		0.00	chrec2:2926577:-	1.00		0.00
chrec2:1175573	122.9	3.4	2.690	-58.328	chrec2:1175573:+	1.00		0.00	chrec2:1175543:-	0.00		0.00
chrec2:3759585	175.1	8.1	1.942	-57.921	chrec2:3759555:+	0.00		0.00	chrec2:3759585:-	1.00		0.00
chrec2:516412	139.8	5.2	2.259	-55.563	chrec2:516382:+	0.00		0.00	chrec2:516412:-	1.00		0.00
chrec2:22213	162.3	8.0	1.845	-49.474	chrec2:22183:+	0.00		0.00	chrec2:22213:-	1.00		0.00
chrec2:3874321	181.2	10.0	1.687	-49.117	chrec2:3874321:+	1.00		0.00	chrec2:3874291:-	0.00		0.00
chrec2:415422	129.8	5.3	2.130	-48.530	chrec2:415392:+	0.00		0.00	chrec2:415422:-	1.00		0.00
chrec2:239265	139.2	6.4	1.956	-47.382	chrec2:239265:+	1.00		0.00	chrec2:239235:-	0.00		0.00
