### ChExMix replication codes
# Codes:
#     X : Event was not called in this condition
#     S : This condition only contains a single replicate
#     D : Called in one replicate or condition as a whole, significant difference detected across some replicates (binomial P-value, same threshold as --q)
#     1 : Called in one replicate or condition as a whole, NO significant difference detected across any replicates
#    >1 : Number of replicates in which binding event is called significant
#
#BindingEvent	SAMPLE
chrec2:3695173	S
chrec2:3601451	S
chrec2:3470323	S
chrec2:3461306	S
chrec2:3318232	S
chrec2:3458333	S
chrec2:3322449	S
chrec2:3586786	S
chrec2:4211361	S
chrec2:3931711	S
chrec2:4429697	S
chrec2:259486	S
chrec2:4186969	S
chrec2:223477	S
chrec2:3828595	S
chrec2:3756186	S
chrec2:1032146	S
chrec2:2730113	S
chrec2:2754239	S
chrec2:4165789	S
chrec2:4039405	S
chrec2:3428826	S
chrec2:4501056	S
chrec2:3109875	S
chrec2:1051138	S
chrec2:3920530	S
chrec2:2619572	S
chrec2:3377428	S
chrec2:4577012	S
chrec2:3209368	S
chrec2:4335008	S
chrec2:1802539	S
chrec2:3378671	S
chrec2:259390	S
chrec2:2273156	S
chrec2:2809396	S
chrec2:1620799	S
chrec2:4624241	S
chrec2:2946032	S
chrec2:3920507	S
chrec2:4396983	S
chrec2:3214247	S
chrec2:21128	S
chrec2:4367314	S
chrec2:4192188	S
chrec2:2632843	S
chrec2:122032	S
chrec2:189706	S
chrec2:2632766	S
chrec2:4380329	S
chrec2:2285767	S
chrec2:16934	S
chrec2:697595	S
chrec2:2064379	S
chrec2:106505	S
chrec2:3509775	S
chrec2:1170577	S
chrec2:1301015	S
chrec2:1624620	S
chrec2:262055	S
chrec2:21215	S
chrec2:2060257	S
chrec2:490529	S
chrec2:3167216	S
chrec2:926439	S
chrec2:4477237	S
chrec2:3333378	S
chrec2:3385319	S
chrec2:563915	S
chrec2:3670536	S
chrec2:2997729	S
chrec2:2289533	S
chrec2:2662055	S
chrec2:1302389	S
chrec2:1759104	S
chrec2:3034987	S
chrec2:3457065	S
chrec2:856350	S
chrec2:962135	S
chrec2:2167724	S
chrec2:1644128	S
chrec2:3410095	S
chrec2:2614591	S
chrec2:2923704	S
chrec2:1020608	S
chrec2:3903157	S
chrec2:3311647	S
chrec2:4410719	S
chrec2:121683	S
chrec2:607011	S
chrec2:4501086	S
chrec2:528239	S
chrec2:4059404	S
chrec2:1085288	S
chrec2:3318159	S
chrec2:3209295	S
chrec2:400913	S
chrec2:3654327	S
chrec2:3164675	S
chrec2:2316411	S
chrec2:2536735	S
chrec2:2089404	S
chrec2:113385	S
chrec2:3635494	S
chrec2:3756307	S
chrec2:4031301	S
chrec2:2418689	S
chrec2:1215681	S
chrec2:433830	S
chrec2:1289249	S
chrec2:919529	S
chrec2:2471744	S
chrec2:675274	S
chrec2:2061972	S
chrec2:2946066	S
chrec2:1153156	S
chrec2:3054624	S
chrec2:4277668	S
chrec2:2344133	S
chrec2:3109012	S
chrec2:3340104	S
chrec2:3650241	S
chrec2:657678	S
chrec2:1630039	S
chrec2:1167551	S
chrec2:3470203	S
chrec2:2744916	S
chrec2:3601331	S
chrec2:3943673	S
chrec2:4048038	S
chrec2:2523709	S
chrec2:3353901	S
chrec2:4260686	S
chrec2:416320	S
chrec2:2817363	S
chrec2:2721318	S
chrec2:3348264	S
chrec2:2046668	S
chrec2:1875918	S
chrec2:4576818	S
chrec2:706479	S
chrec2:1148362	S
chrec2:1994326	S
chrec2:695418	S
chrec2:475640	S
chrec2:3183383	S
chrec2:2155764	S
chrec2:453437	S
chrec2:1721520	S
chrec2:3710206	S
chrec2:1792970	S
chrec2:2765287	S
chrec2:379132	S
chrec2:2627916	S
chrec2:2526360	S
chrec2:4409348	S
chrec2:989460	S
chrec2:1727718	S
chrec2:669653	S
chrec2:3308556	S
chrec2:3756525	S
chrec2:3992360	S
chrec2:2598458	S
chrec2:3054145	S
chrec2:1493842	S
chrec2:1757175	S
chrec2:454211	S
chrec2:440686	S
chrec2:2908377	S
chrec2:3145432	S
chrec2:2729994	S
chrec2:222732	S
chrec2:780926	S
chrec2:2557618	S
chrec2:3671039	S
chrec2:1748123	S
chrec2:4462573	S
chrec2:1804469	S
chrec2:1492483	S
chrec2:883935	S
chrec2:1745083	S
chrec2:506414	S
chrec2:1964350	S
chrec2:660730	S
chrec2:1110837	S
chrec2:553721	S
chrec2:4201731	S
chrec2:3623810	S
chrec2:3804224	S
chrec2:2526381	S
chrec2:2027442	S
chrec2:3992111	S
chrec2:3725110	S
chrec2:873322	S
chrec2:3085217	S
chrec2:4237313	S
chrec2:4002810	S
chrec2:4061655	S
chrec2:1990147	S
chrec2:3109049	S
chrec2:2538943	S
chrec2:255905	S
chrec2:1153090	S
chrec2:3695054	S
chrec2:1735855	S
chrec2:3270454	S
chrec2:4611122	S
chrec2:3627575	S
chrec2:1016917	S
chrec2:3863990	S
chrec2:2045710	S
chrec2:496348	S
chrec2:2797201	S
chrec2:2046704	S
chrec2:2062011	S
chrec2:2316377	S
chrec2:1910517	S
chrec2:3714204	S
chrec2:3645688	S
chrec2:480096	S
chrec2:3508065	S
chrec2:2283884	S
chrec2:2923182	S
chrec2:990844	S
chrec2:113326	S
chrec2:2316181	S
chrec2:3518263	S
chrec2:2116487	S
chrec2:1219363	S
chrec2:2100475	S
chrec2:4645296	S
chrec2:1436306	S
chrec2:2660851	S
chrec2:771696	S
chrec2:1927006	S
chrec2:1707454	S
chrec2:3654291	S
chrec2:1703907	S
chrec2:1332527	S
chrec2:2562763	S
chrec2:491273	S
chrec2:2724473	S
chrec2:2092107	S
chrec2:4523055	S
chrec2:4009495	S
chrec2:927113	S
chrec2:1742912	S
chrec2:2652128	S
chrec2:424203	S
chrec2:89603	S
chrec2:3915055	S
chrec2:2054146	S
chrec2:3550704	S
chrec2:2115388	S
chrec2:4154463	S
chrec2:1927021	S
chrec2:3819038	S
chrec2:3085073	S
chrec2:1097927	S
chrec2:4267868	S
chrec2:853138	S
chrec2:3245288	S
chrec2:2473279	S
chrec2:3742847	S
chrec2:4399860	S
chrec2:4545262	S
chrec2:141354	S
chrec2:4472037	S
chrec2:3725051	S
chrec2:2746513	S
chrec2:1997539	S
chrec2:131512	S
chrec2:4438731	S
chrec2:4545371	S
chrec2:3379982	S
chrec2:3846483	S
chrec2:4297959	S
chrec2:2268673	S
chrec2:2197598	S
chrec2:3992353	S
chrec2:2466686	S
chrec2:3594285	S
chrec2:3686391	S
chrec2:3818340	S
chrec2:1352844	S
chrec2:3756448	S
chrec2:3475853	S
chrec2:3578306	S
chrec2:3400988	S
chrec2:4121030	S
chrec2:3153858	S
chrec2:4396229	S
chrec2:1244712	S
chrec2:4381480	S
chrec2:831200	S
chrec2:3193514	S
chrec2:2662016	S
chrec2:3617859	S
chrec2:4114237	S
chrec2:3403286	S
chrec2:576463	S
chrec2:4002974	S
chrec2:153	S
chrec2:771614	S
chrec2:484939	S
chrec2:3171155	S
chrec2:3436507	S
chrec2:274493	S
chrec2:2536717	S
chrec2:3446187	S
chrec2:2188781	S
chrec2:3384451	S
chrec2:4297949	S
chrec2:3688642	S
chrec2:4640039	S
chrec2:4505176	S
chrec2:2711528	S
chrec2:1294526	S
chrec2:3148157	S
chrec2:1148220	S
chrec2:3176653	S
chrec2:1907180	S
chrec2:2967663	S
chrec2:1739395	S
chrec2:2557683	S
chrec2:3823830	S
chrec2:3054396	S
chrec2:2643029	S
chrec2:3108091	S
chrec2:3938713	S
chrec2:3055510	S
chrec2:1675492	S
chrec2:4443201	S
chrec2:1722585	S
chrec2:1401270	S
chrec2:712380	S
chrec2:1643434	S
chrec2:3670478	S
chrec2:4446005	S
chrec2:2652439	S
chrec2:2941346	S
chrec2:2070126	S
chrec2:4610378	S
chrec2:246529	S
chrec2:2447100	S
chrec2:17458	S
chrec2:939792	S
chrec2:1991775	S
chrec2:485716	S
chrec2:1018759	S
chrec2:3038466	S
chrec2:3234577	S
chrec2:3039941	S
chrec2:638092	S
chrec2:4278753	S
chrec2:160727	S
chrec2:2740485	S
chrec2:3974572	S
chrec2:4056937	S
chrec2:1031872	S
chrec2:1030428	S
chrec2:176551	S
chrec2:4454374	S
chrec2:4418797	S
chrec2:2923965	S
chrec2:926907	S
chrec2:4490813	S
chrec2:2481830	S
chrec2:3760262	S
chrec2:2698282	S
chrec2:1118343	S
chrec2:1328414	S
chrec2:3237023	S
chrec2:2803414	S
chrec2:2439445	S
chrec2:3054203	S
chrec2:651824	S
chrec2:3740047	S
chrec2:3721468	S
chrec2:8183	S
chrec2:2424667	S
chrec2:1909325	S
chrec2:21378	S
chrec2:4072945	S
chrec2:1873679	S
chrec2:1310470	S
chrec2:3283959	S
chrec2:3855348	S
chrec2:388984	S
chrec2:1085335	S
chrec2:2462337	S
chrec2:4114077	S
chrec2:2502219	S
chrec2:2699177	S
chrec2:4036087	S
chrec2:1341893	S
chrec2:3585647	S
chrec2:1952338	S
chrec2:450882	S
chrec2:480024	S
chrec2:439620	S
chrec2:4162934	S
chrec2:2715192	S
chrec2:478517	S
chrec2:4159206	S
chrec2:4395111	S
chrec2:1924783	S
chrec2:3811612	S
chrec2:4490723	S
chrec2:1300017	S
chrec2:3072493	S
chrec2:3186076	S
chrec2:2866768	S
chrec2:431417	S
chrec2:121696	S
chrec2:2617467	S
chrec2:3137281	S
chrec2:461056	S
chrec2:3638780	S
chrec2:578145	S
chrec2:2886013	S
chrec2:3940273	S
chrec2:2871563	S
chrec2:2468883	S
chrec2:3714148	S
chrec2:1812601	S
chrec2:4161884	S
chrec2:4121255	S
chrec2:1714393	S
chrec2:3699529	S
chrec2:3907666	S
chrec2:3798638	S
chrec2:507338	S
chrec2:136935	S
chrec2:775124	S
chrec2:2489081	S
chrec2:962277	S
chrec2:853461	S
chrec2:2500945	S
chrec2:4480506	S
chrec2:658392	S
chrec2:967011	S
chrec2:1849752	S
chrec2:1657428	S
chrec2:4197844	S
chrec2:1146307	S
chrec2:711256	S
chrec2:4329873	S
chrec2:2281758	S
chrec2:2189185	S
chrec2:1263760	S
chrec2:29541	S
chrec2:4541236	S
chrec2:3991922	S
chrec2:3238497	S
chrec2:1092935	S
chrec2:2984455	S
chrec2:2947731	S
chrec2:236903	S
chrec2:637852	S
chrec2:1265248	S
chrec2:1961709	S
chrec2:3354377	S
chrec2:404960	S
chrec2:3188394	S
chrec2:2504078	S
chrec2:3846706	S
chrec2:2702882	S
chrec2:2890840	S
chrec2:3039762	S
chrec2:3071507	S
chrec2:1292891	S
chrec2:3193889	S
chrec2:4078550	S
chrec2:2734731	S
chrec2:3865313	S
chrec2:4281020	S
chrec2:878496	S
chrec2:1472259	S
chrec2:850628	S
chrec2:4478752	S
chrec2:159177	S
chrec2:1290341	S
chrec2:136508	S
chrec2:3475594	S
chrec2:2316782	S
chrec2:641124	S
chrec2:57251	S
chrec2:3787224	S
chrec2:2903129	S
chrec2:1683845	S
chrec2:3478218	S
chrec2:3473384	S
chrec2:454063	S
chrec2:3153941	S
chrec2:2500772	S
chrec2:933572	S
chrec2:1634416	S
chrec2:3705429	S
chrec2:632779	S
chrec2:3676701	S
chrec2:479638	S
chrec2:3082553	S
chrec2:4256072	S
chrec2:1236360	S
chrec2:120	S
chrec2:1005150	S
chrec2:1788867	S
chrec2:4635261	S
chrec2:1864433	S
chrec2:1736089	S
chrec2:2476119	S
chrec2:2225369	S
chrec2:1917869	S
chrec2:1196525	S
chrec2:1227724	S
chrec2:3975665	S
chrec2:662738	S
chrec2:961577	S
chrec2:1390550	S
chrec2:1234639	S
chrec2:729473	S
chrec2:3832171	S
chrec2:1947740	S
chrec2:3732253	S
chrec2:2060221	S
chrec2:592443	S
chrec2:1195385	S
chrec2:3246261	S
chrec2:2247075	S
chrec2:2735634	S
chrec2:4398778	S
chrec2:1706226	S
chrec2:2443341	S
chrec2:3152178	S
chrec2:1642496	S
chrec2:1192051	S
chrec2:3175691	S
chrec2:891313	S
chrec2:1882515	S
chrec2:1519071	S
chrec2:2266920	S
chrec2:1908803	S
chrec2:2969046	S
chrec2:1155412	S
chrec2:1944336	S
chrec2:2537813	S
chrec2:2057173	S
chrec2:2103800	S
chrec2:4114144	S
chrec2:4031389	S
chrec2:3762904	S
chrec2:3203307	S
chrec2:1187244	S
chrec2:4488614	S
chrec2:2686095	S
chrec2:3611713	S
chrec2:2253030	S
chrec2:1879284	S
chrec2:4211429	S
chrec2:2795824	S
chrec2:4100355	S
chrec2:3159844	S
chrec2:3215207	S
chrec2:1407666	S
chrec2:3986668	S
chrec2:713268	S
chrec2:4088520	S
chrec2:3504129	S
chrec2:3078233	S
chrec2:3072387	S
chrec2:3517333	S
chrec2:3611830	S
chrec2:4217807	S
chrec2:2055708	S
chrec2:1649608	S
chrec2:2975034	S
chrec2:1336782	S
chrec2:1271433	S
chrec2:1505375	S
chrec2:2641643	S
chrec2:729275	S
chrec2:3676039	S
chrec2:711948	S
chrec2:584876	S
chrec2:502514	S
chrec2:3471288	S
chrec2:792518	S
chrec2:4207796	S
chrec2:3405020	S
chrec2:3585399	S
chrec2:4057023	S
chrec2:2250266	S
chrec2:3068537	S
chrec2:194778	S
chrec2:4587794	S
chrec2:2470531	S
chrec2:1797427	S
chrec2:3428716	S
chrec2:1159208	S
chrec2:2968257	S
chrec2:1737041	S
chrec2:3293273	S
chrec2:1807889	S
chrec2:3150675	S
chrec2:3995088	S
chrec2:2268743	S
chrec2:2077979	S
chrec2:2145147	S
chrec2:704164	S
chrec2:567147	S
chrec2:3513294	S
chrec2:233987	S
chrec2:3585882	S
chrec2:3713967	S
chrec2:2904092	S
chrec2:2241675	S
chrec2:2010266	S
chrec2:1938082	S
chrec2:983452	S
chrec2:3786548	S
chrec2:1359421	S
chrec2:1265129	S
chrec2:3688620	S
chrec2:2081593	S
chrec2:4387295	S
chrec2:231075	S
chrec2:1591856	S
chrec2:453646	S
chrec2:4591508	S
chrec2:1421945	S
chrec2:174920	S
chrec2:2349410	S
chrec2:3605556	S
chrec2:1524919	S
chrec2:2946692	S
chrec2:4027489	S
chrec2:1613635	S
chrec2:1006272	S
chrec2:3529268	S
chrec2:2354588	S
chrec2:1706911	S
chrec2:1343577	S
chrec2:2453924	S
chrec2:1051629	S
chrec2:2820752	S
chrec2:2251899	S
chrec2:4227254	S
chrec2:1766475	S
chrec2:3089718	S
chrec2:2368992	S
chrec2:3668809	S
chrec2:672332	S
chrec2:4107744	S
chrec2:1388409	S
chrec2:146755	S
chrec2:1868225	S
chrec2:1504144	S
chrec2:958004	S
chrec2:1051733	S
chrec2:1118189	S
chrec2:1719001	S
chrec2:3461565	S
chrec2:1874819	S
chrec2:4206772	S
chrec2:3058383	S
chrec2:150538	S
chrec2:3879108	S
chrec2:860477	S
chrec2:643267	S
chrec2:4444203	S
chrec2:1801009	S
chrec2:1618714	S
chrec2:3755409	S
chrec2:2975232	S
chrec2:3190777	S
chrec2:4094827	S
chrec2:218840	S
chrec2:2631370	S
chrec2:4547371	S
chrec2:149637	S
chrec2:1917299	S
chrec2:2218973	S
chrec2:1176981	S
chrec2:2004990	S
chrec2:4148065	S
chrec2:986169	S
chrec2:243517	S
chrec2:702286	S
chrec2:2035609	S
chrec2:2774159	S
chrec2:1766867	S
chrec2:3252908	S
chrec2:4610437	S
chrec2:3162226	S
chrec2:4506527	S
chrec2:460603	S
chrec2:987508	S
chrec2:2621660	S
chrec2:3606968	S
chrec2:3278197	S
chrec2:4532694	S
chrec2:4446923	S
chrec2:1442741	S
chrec2:1271957	S
chrec2:4173414	S
chrec2:1312774	S
chrec2:2752210	S
chrec2:964154	S
chrec2:4587961	S
chrec2:915307	S
chrec2:2808226	S
chrec2:3740013	S
chrec2:4147903	S
chrec2:932736	S
chrec2:2985703	S
chrec2:1844023	S
