### ChExMix replication codes
# Codes:
#     X : Event was not called in this condition
#     S : This condition only contains a single replicate
#     D : Called in one replicate or condition as a whole, significant difference detected across some replicates (binomial P-value, same threshold as --q)
#     1 : Called in one replicate or condition as a whole, NO significant difference detected across any replicates
#    >1 : Number of replicates in which binding event is called significant
#
#BindingEvent	SAMPLE
chrec2:2849137	S
chrec2:3578554	S
chrec2:2849263	S
chrec2:2689993	S
chrec2:4039582	S
chrec2:4302907	S
chrec2:3144947	S
chrec2:4266385	S
chrec2:3434795	S
chrec2:2690016	S
chrec2:2690007	S
chrec2:3434948	S
chrec2:2849180	S
chrec2:4072885	S
chrec2:4082288	S
chrec2:689658	S
chrec2:3418808	S
chrec2:471760	S
chrec2:1312256	S
chrec2:2689987	S
chrec2:1564844	S
chrec2:2599805	S
chrec2:848489	S
chrec2:2064132	S
chrec2:2836808	S
chrec2:4444033	S
chrec2:3667749	S
chrec2:1403895	S
chrec2:261348	S
chrec2:1369732	S
chrec2:1522700	S
chrec2:2849157	S
chrec2:1873461	S
chrec2:2831073	S
chrec2:2803352	S
chrec2:703862	S
chrec2:2491825	S
chrec2:3332253	S
chrec2:2433314	S
chrec2:884087	S
chrec2:2182879	S
chrec2:374132	S
chrec2:4639494	S
chrec2:2533961	S
chrec2:2325403	S
chrec2:3044638	S
chrec2:3503303	S
chrec2:1167536	S
chrec2:1868510	S
chrec2:2105932	S
chrec2:2585059	S
chrec2:2998899	S
chrec2:1074470	S
chrec2:2912996	S
chrec2:1099504	S
chrec2:455728	S
chrec2:2608749	S
chrec2:3674561	S
chrec2:512537	S
chrec2:3004819	S
chrec2:1158005	S
chrec2:2538824	S
chrec2:2797484	S
chrec2:3787177	S
chrec2:4620145	S
chrec2:3014634	S
chrec2:1466637	S
chrec2:2328066	S
chrec2:3834917	S
chrec2:485011	S
chrec2:2367190	S
chrec2:2328020	S
chrec2:1833777	S
chrec2:2755443	S
chrec2:4553923	S
chrec2:3013304	S
chrec2:3170433	S
chrec2:3372473	S
chrec2:1841907	S
chrec2:2216162	S
