### ChExMix output
#Replicate	ParentCond	Name	Index	SigCount	CtrlCount	CtrlScaling	SignalFraction
#Replicate	SAMPLE	SAMPLE:1	0	591613.0	5052701.0	0.184	0.323
#
#Point	SAMPLE:1_Sig	SAMPLE:1_Ctrl	SAMPLE:1_log2Fold	SAMPLE:1_log2Q
chrec2:2849137	12293.7	129.8	9.010	-Infinity
chrec2:3578554	8118.9	698.0	5.985	-Infinity
chrec2:2849263	7055.4	126.6	8.245	-Infinity
chrec2:2689993	7004.9	865.4	5.462	-Infinity
chrec2:4039582	5125.3	2290.5	3.607	-Infinity
chrec2:4302907	4913.3	205.6	7.024	-Infinity
chrec2:3144947	4545.0	617.7	5.325	-Infinity
chrec2:4266385	4508.6	264.9	6.534	-Infinity
chrec2:3434795	4448.2	168.6	7.166	-Infinity
chrec2:2690016	4058.1	354.6	5.962	-Infinity
chrec2:2690007	3854.7	394.2	5.735	-Infinity
chrec2:3434948	3470.2	170.6	6.792	-Infinity
chrec2:2849180	3241.8	40.0	8.784	-Infinity
chrec2:4072885	2888.0	392.2	5.326	-Infinity
chrec2:4082288	2786.1	168.7	6.491	-Infinity
chrec2:689658	2675.9	238.0	5.936	-Infinity
chrec2:3418808	2478.2	202.9	6.055	-Infinity
chrec2:471760	2283.1	182.7	6.088	-Infinity
chrec2:1312256	2279.9	185.9	6.061	-Infinity
chrec2:2689987	2277.6	330.3	5.231	-Infinity
chrec2:1564844	2269.6	94.1	7.037	-Infinity
chrec2:2599805	2165.9	266.1	5.470	-Infinity
chrec2:848489	2054.7	140.5	6.316	-Infinity
chrec2:2064132	1910.7	1071.6	3.280	-Infinity
chrec2:2836808	1894.6	118.1	6.449	-Infinity
chrec2:4444033	1797.9	402.1	4.606	-Infinity
chrec2:3667749	1797.5	506.6	4.272	-Infinity
chrec2:1403895	1765.2	111.8	6.426	-Infinity
chrec2:261348	1678.5	356.9	4.679	-Infinity
chrec2:1369732	1617.6	85.9	6.680	-Infinity
chrec2:1522700	1553.1	131.9	6.003	-Infinity
chrec2:2849157	1464.2	16.3	8.935	-Infinity
chrec2:1873461	1437.9	113.6	6.108	-Infinity
chrec2:2831073	1425.0	127.9	5.923	-Infinity
chrec2:2803352	1395.0	339.3	4.485	-Infinity
chrec2:703862	1305.3	200.6	5.147	-Infinity
chrec2:2491825	1150.1	104.2	5.910	-1023.278
chrec2:3332253	1602.8	916.3	3.252	-967.911
chrec2:2433314	1133.1	211.6	4.866	-925.026
chrec2:884087	1007.8	211.5	4.698	-806.513
chrec2:2182879	878.4	84.8	5.818	-777.537
chrec2:374132	932.8	153.4	5.049	-773.048
chrec2:4639494	1163.0	552.9	3.518	-753.953
chrec2:2533961	944.1	236.2	4.444	-728.486
chrec2:2325403	809.5	114.4	5.268	-684.041
chrec2:3044638	749.1	143.3	4.832	-606.697
chrec2:3503303	738.2	150.7	4.737	-592.517
chrec2:1167536	812.7	262.8	4.074	-589.952
chrec2:1868510	700.6	112.9	5.079	-584.678
chrec2:2105932	654.7	94.6	5.236	-552.969
chrec2:2585059	647.0	113.4	4.957	-533.122
chrec2:2998899	620.1	156.6	4.431	-478.057
chrec2:1074470	534.7	56.0	5.701	-467.702
chrec2:2912996	581.8	151.7	4.385	-446.088
chrec2:1099504	538.1	106.0	4.789	-433.446
chrec2:455728	737.2	521.3	2.945	-404.320
chrec2:2608749	493.6	108.5	4.632	-391.906
chrec2:3674561	579.6	257.3	3.617	-382.943
chrec2:512537	533.6	182.2	3.996	-382.573
chrec2:3004819	454.2	71.2	5.118	-376.930
chrec2:1158005	517.0	175.8	4.001	-370.175
chrec2:2538824	522.9	208.3	3.773	-358.012
chrec2:2797484	434.4	80.9	4.870	-354.938
chrec2:3787177	606.3	396.0	3.059	-345.469
chrec2:4620145	443.8	107.5	4.491	-345.100
chrec2:3014634	426.1	99.8	4.540	-331.768
chrec2:1466637	428.4	105.1	4.472	-330.176
chrec2:2328066	370.1	39.8	5.662	-321.592
chrec2:3834917	492.0	229.3	3.547	-319.716
chrec2:485011	630.0	532.6	2.688	-314.112
chrec2:2367190	418.8	122.9	4.214	-311.867
chrec2:2328020	331.2	36.3	5.635	-288.350
chrec2:1833777	364.5	77.6	4.678	-287.921
chrec2:2755443	371.2	107.6	4.232	-277.327
chrec2:4553923	378.3	135.5	3.926	-269.078
chrec2:3013304	351.7	104.3	4.198	-258.915
chrec2:3170433	329.1	103.9	4.109	-238.740
chrec2:3372473	330.1	123.7	3.861	-230.657
chrec2:1841907	287.7	74.1	4.403	-220.306
chrec2:2216162	293.6	91.6	4.126	-216.071
chrec2:817133	303.5	112.0	3.884	-213.056
chrec2:2521345	335.2	174.4	3.388	-208.400
chrec2:1794175	310.3	135.9	3.636	-208.076
chrec2:3349949	308.7	131.2	3.680	-205.428
chrec2:3954584	298.3	140.6	3.530	-194.819
chrec2:2373201	273.2	105.5	3.818	-188.084
chrec2:1088935	244.4	65.2	4.352	-187.142
chrec2:1273980	264.4	95.6	3.913	-185.781
chrec2:1068877	271.1	120.2	3.618	-178.111
chrec2:4142178	268.5	128.9	3.504	-173.746
chrec2:2376972	241.5	87.9	3.904	-167.954
chrec2:2846679	232.3	76.7	4.043	-165.705
chrec2:415546	256.7	132.0	3.405	-159.927
chrec2:1216125	226.3	83.5	3.884	-157.356
chrec2:619307	210.2	65.8	4.121	-151.744
chrec2:2381519	219.7	97.0	3.624	-146.442
chrec2:1962280	242.0	144.4	3.190	-143.213
