### ChExMix output
#Condition	Name	Index	TotalSigCount	SigCtrlScaling	SignalFraction
#Condition	SAMPLE	0	2246955.0	8.784	0.575
#Replicate	ParentCond	Name	Index	SigCount	CtrlCount	SigCtrlScaling	SignalFraction
#Replicate	SAMPLE	SAMPLE:1	0	2246955.0	291723.0	8.7836	0.575
#
#Point	SAMPLE_Sig	SAMPLE_Ctrl	SAMPLE_log2Fold	SAMPLE_log2Q	ActiveConds
chrec2:3410058	6788.2	30.1	4.681	-Infinity	1
chrec2:3965721	6297.1	22.1	5.017	-Infinity	1
chrec2:2182069	4581.9	4.6	6.830	-Infinity	1
chrec2:3668865	4570.4	39.6	3.717	-Infinity	1
chrec2:4429586	4326.0	69.2	2.830	-Infinity	1
chrec2:3146421	4197.8	4.7	6.682	-Infinity	1
chrec2:2997916	4061.8	126.7	1.868	-Infinity	1
chrec2:3883851	3653.7	7.7	5.747	-Infinity	1
chrec2:2349145	3472.3	8.4	5.564	-Infinity	1
chrec2:2957703	3445.4	13.7	4.844	-Infinity	1
chrec2:3535200	3425.2	8.4	5.531	-Infinity	1
chrec2:2410241	3424.6	5.9	6.057	-Infinity	1
chrec2:3932360	3178.4	14.8	4.613	-Infinity	1
chrec2:2967984	3064.0	7.1	5.625	-Infinity	1
chrec2:3217930	2989.9	6.3	5.747	-Infinity	1
chrec2:4031338	2988.6	66.7	2.352	-Infinity	1
chrec2:2462407	2916.3	21.0	3.980	-Infinity	1
chrec2:3535256	2893.3	8.2	5.331	-Infinity	1
chrec2:4576746	2855.4	29.4	3.467	-Infinity	1
chrec2:4042571	2837.3	37.9	3.092	-Infinity	1
chrec2:3171184	2790.5	14.7	4.430	-Infinity	1
chrec2:611839	2772.4	13.4	4.560	-Infinity	1
chrec2:3967992	2752.1	14.8	4.404	-Infinity	1
chrec2:418508	2736.8	33.4	3.220	-Infinity	1
chrec2:4146571	2650.1	19.1	3.979	-Infinity	1
chrec2:878618	2642.4	5.4	5.802	-Infinity	1
chrec2:4429531	2636.1	35.0	3.098	-Infinity	1
chrec2:4281813	2588.9	15.0	4.296	-Infinity	1
chrec2:3562999	2585.2	3.8	6.287	-Infinity	1
chrec2:4297769	2562.0	18.2	4.006	-Infinity	1
chrec2:3765101	2486.8	5.4	5.716	-Infinity	1
chrec2:3962597	2474.7	8.1	5.115	-Infinity	1
chrec2:2538771	2454.0	17.0	4.040	-Infinity	1
chrec2:3238203	2393.0	7.3	5.229	-Infinity	1
chrec2:663172	2391.3	30.0	3.182	-Infinity	1
chrec2:4291079	2331.3	11.7	4.501	-Infinity	1
chrec2:4508295	2331.2	20.0	3.728	-Infinity	1
chrec2:1167445	2315.6	33.6	2.970	-Infinity	1
chrec2:1997858	2253.0	25.7	3.320	-Infinity	1
chrec2:2229029	2248.9	8.2	4.958	-Infinity	1
chrec2:4532335	2247.2	9.1	4.812	-Infinity	1
chrec2:2483250	2246.4	5.3	5.590	-Infinity	1
chrec2:4273756	2199.7	9.9	4.666	-Infinity	1
chrec2:4042784	2177.8	23.0	3.432	-Infinity	1
chrec2:3822753	2145.5	12.4	4.300	-Infinity	1
chrec2:3436765	2114.3	18.4	3.708	-Infinity	1
