### ChExMix output
#Replicate	ParentCond	Name	Index	SigCount	CtrlCount	CtrlScaling	SignalFraction
#Replicate	SAMPLE	SAMPLE:1	0	3649046.0	5052701.0	0.655	0.599
#
#Point	SAMPLE:1_Sig	SAMPLE:1_Ctrl	SAMPLE:1_log2Fold	SAMPLE:1_log2Q
chrec2:3654329	18439.7	13190.2	1.093	-Infinity
chrec2:3695174	17332.3	4207.8	2.652	-Infinity
chrec2:3601334	16677.6	11191.0	1.185	-Infinity
chrec2:3470205	16387.6	10805.4	1.210	-Infinity
chrec2:3920545	16329.6	4154.7	2.584	-Infinity
chrec2:3461308	16126.7	7950.5	1.630	-Infinity
chrec2:3470323	15199.4	4620.0	2.328	-Infinity
chrec2:3601451	15178.8	4837.9	2.259	-Infinity
chrec2:3318234	14278.3	3821.2	2.511	-Infinity
chrec2:4211469	13903.1	7481.6	1.504	-Infinity
chrec2:2729996	13590.7	9668.5	1.101	-Infinity
chrec2:3322451	13333.0	6648.1	1.614	-Infinity
chrec2:3586794	13273.3	2840.2	2.834	-Infinity
chrec2:3377435	13051.1	1415.6	3.814	-Infinity
chrec2:4211361	13010.7	2864.0	2.793	-Infinity
chrec2:3828594	12937.1	4216.6	2.227	-Infinity
chrec2:4429690	12707.7	2632.5	2.881	-Infinity
chrec2:223586	12523.9	9107.6	1.069	-Infinity
chrec2:2730112	12052.7	3810.9	2.271	-Infinity
chrec2:1051139	12032.7	1324.3	3.793	-Infinity
chrec2:4611122	11690.8	7232.3	1.302	-Infinity
chrec2:3695055	11669.7	7367.5	1.273	-Infinity
chrec2:1032146	11544.2	3709.0	2.248	-Infinity
chrec2:3428717	11519.7	8465.9	1.054	-Infinity
chrec2:3458333	11229.1	2348.8	2.867	-Infinity
chrec2:3428826	10941.4	3173.7	2.395	-Infinity
chrec2:4186968	10893.6	3769.5	2.141	-Infinity
chrec2:2273129	10823.6	1038.5	3.991	-Infinity
chrec2:4039404	10666.9	2130.0	2.934	-Infinity
chrec2:2754224	10387.8	2749.8	2.527	-Infinity
chrec2:3931747	10366.8	4622.6	1.775	-Infinity
chrec2:259484	10340.5	1690.2	3.223	-Infinity
chrec2:21215	10171.9	1575.5	3.300	-Infinity
chrec2:223476	9879.4	3755.4	2.005	-Infinity
chrec2:4396982	9783.4	5444.9	1.455	-Infinity
chrec2:697595	9764.0	6376.1	1.224	-Infinity
chrec2:4501088	9409.9	2251.1	2.673	-Infinity
chrec2:3109870	9385.6	1624.8	3.140	-Infinity
