### ChExMix output
#Condition	Name	Index	TotalSigCount	SigCtrlScaling	SignalFraction
#Condition	SAMPLE	0	4541691.0	1.130	0.587
#Replicate	ParentCond	Name	Index	SigCount	CtrlCount	SigCtrlScaling	SignalFraction
#Replicate	SAMPLE	SAMPLE:1	0	4541691.0	5052701.0	1.1297	0.587
#
#Point	SAMPLE_Sig	SAMPLE_Ctrl	SAMPLE_log2Fold	SAMPLE_log2Q	ActiveConds
chrec2:3410059	9045.4	818.0	3.291	-Infinity	1
chrec2:3965721	7931.3	374.4	4.229	-Infinity	1
chrec2:3668865	7438.6	508.5	3.695	-Infinity	1
chrec2:4429586	7393.2	862.2	2.924	-Infinity	1
chrec2:3146421	7165.6	148.7	5.415	-Infinity	1
chrec2:3883851	6662.1	163.5	5.173	-Infinity	1
chrec2:2182068	6518.3	96.5	5.903	-Infinity	1
chrec2:2957702	6233.6	236.6	4.544	-Infinity	1
chrec2:2967984	6037.5	137.1	5.285	-Infinity	1
chrec2:4042786	5858.5	397.3	3.706	-Infinity	1
chrec2:4031338	5514.6	1016.2	2.264	-Infinity	1
chrec2:4165659	5333.0	1543.1	1.613	-Infinity	1
chrec2:2410241	5326.2	135.3	5.123	-Infinity	1
chrec2:2997916	5263.2	1011.0	2.204	-Infinity	1
chrec2:611839	5164.9	145.2	4.977	-Infinity	1
chrec2:3535199	5138.5	145.7	4.964	-Infinity	1
chrec2:3171185	4985.9	256.0	4.108	-Infinity	1
chrec2:3535255	4949.1	182.3	4.587	-Infinity	1
chrec2:418508	4801.4	586.7	2.857	-Infinity	1
chrec2:4429531	4796.8	535.3	2.988	-Infinity	1
chrec2:2462393	4779.2	233.7	4.178	-Infinity	1
chrec2:2229028	4668.6	175.0	4.561	-Infinity	1
chrec2:4532335	4641.7	212.2	4.275	-Infinity	1
chrec2:3238203	4619.8	224.1	4.190	-Infinity	1
chrec2:3962598	4582.7	191.1	4.408	-Infinity	1
chrec2:4576747	4491.6	84.2	5.561	-Infinity	1
chrec2:3718101	4464.5	1251.7	1.659	-Infinity	1
chrec2:3832131	4403.2	529.7	2.879	-Infinity	1
chrec2:4146572	4390.7	185.5	4.389	-Infinity	1
chrec2:3562999	4390.5	62.9	5.948	-Infinity	1
chrec2:4274247	4382.8	255.3	3.926	-Infinity	1
chrec2:4297770	4372.7	259.6	3.898	-Infinity	1
chrec2:2483249	4331.4	108.2	5.147	-Infinity	1
chrec2:4273755	4278.8	234.8	4.012	-Infinity	1
chrec2:3217935	4213.3	94.0	5.311	-Infinity	1
chrec2:4508294	4170.1	168.1	4.457	-Infinity	1
chrec2:3436764	4135.9	326.6	3.487	-Infinity	1
chrec2:2349145	4114.7	58.5	5.960	-Infinity	1
chrec2:663171	4088.5	270.9	3.740	-Infinity	1
chrec2:2196368	4085.5	261.6	3.789	-Infinity	1
chrec2:3765102	4064.2	106.1	5.083	-Infinity	1
chrec2:878617	4056.8	132.8	4.758	-Infinity	1
chrec2:4291079	4055.1	131.7	4.769	-Infinity	1
