### ChExMix output
#Condition	Name	Index	TotalSigCount	SigCtrlScaling	SignalFraction
#Condition	SAMPLE	0	591613.0	0.184	0.323
#Replicate	ParentCond	Name	Index	SigCount	CtrlCount	SigCtrlScaling	SignalFraction
#Replicate	SAMPLE	SAMPLE:1	0	591613.0	5052701.0	0.1836	0.323
#
#Point	SAMPLE_Sig	SAMPLE_Ctrl	SAMPLE_log2Fold	SAMPLE_log2Q	ActiveConds
chrec2:2849137	12293.7	129.8	9.010	-Infinity	1
chrec2:3578554	8118.9	698.0	5.985	-Infinity	1
chrec2:2849263	7055.4	126.6	8.245	-Infinity	1
chrec2:2689993	7004.9	865.4	5.462	-Infinity	1
chrec2:4039582	5125.3	2290.5	3.607	-Infinity	1
chrec2:4302907	4913.3	205.6	7.024	-Infinity	1
chrec2:3144947	4545.0	617.7	5.325	-Infinity	1
chrec2:4266385	4508.6	264.9	6.534	-Infinity	1
chrec2:3434795	4448.2	168.6	7.166	-Infinity	1
chrec2:2690016	4058.1	354.6	5.962	-Infinity	1
chrec2:2690007	3854.7	394.2	5.735	-Infinity	1
chrec2:3434948	3470.2	170.6	6.792	-Infinity	1
chrec2:2849180	3241.8	40.0	8.784	-Infinity	1
chrec2:4072885	2888.0	392.2	5.326	-Infinity	1
chrec2:4082288	2786.1	168.7	6.491	-Infinity	1
chrec2:689658	2675.9	238.0	5.936	-Infinity	1
chrec2:3418808	2478.2	202.9	6.055	-Infinity	1
chrec2:471760	2283.1	182.7	6.088	-Infinity	1
chrec2:1312256	2279.9	185.9	6.061	-Infinity	1
chrec2:2689987	2277.6	330.3	5.231	-Infinity	1
chrec2:1564844	2269.6	94.1	7.037	-Infinity	1
chrec2:2599805	2165.9	266.1	5.470	-Infinity	1
chrec2:848489	2054.7	140.5	6.316	-Infinity	1
chrec2:2064132	1910.7	1071.6	3.280	-Infinity	1
chrec2:2836808	1894.6	118.1	6.449	-Infinity	1
chrec2:4444033	1797.9	402.1	4.606	-Infinity	1
chrec2:3667749	1797.5	506.6	4.272	-Infinity	1
chrec2:1403895	1765.2	111.8	6.426	-Infinity	1
chrec2:261348	1678.5	356.9	4.679	-Infinity	1
chrec2:1369732	1617.6	85.9	6.680	-Infinity	1
chrec2:1522700	1553.1	131.9	6.003	-Infinity	1
chrec2:2849157	1464.2	16.3	8.935	-Infinity	1
chrec2:1873461	1437.9	113.6	6.108	-Infinity	1
chrec2:2831073	1425.0	127.9	5.923	-Infinity	1
chrec2:2803352	1395.0	339.3	4.485	-Infinity	1
chrec2:703862	1305.3	200.6	5.147	-Infinity	1
chrec2:2491825	1150.1	104.2	5.910	-1023.278	1
chrec2:3332253	1602.8	916.3	3.252	-967.911	1
chrec2:2433314	1133.1	211.6	4.866	-925.026	1
chrec2:884087	1007.8	211.5	4.698	-806.513	1
chrec2:2182879	878.4	84.8	5.818	-777.537	1
chrec2:374132	932.8	153.4	5.049	-773.048	1
chrec2:4639494	1163.0	552.9	3.518	-753.953	1
chrec2:2533961	944.1	236.2	4.444	-728.486	1
chrec2:2325403	809.5	114.4	5.268	-684.041	1
chrec2:3044638	749.1	143.3	4.832	-606.697	1
chrec2:3503303	738.2	150.7	4.737	-592.517	1
chrec2:1167536	812.7	262.8	4.074	-589.952	1
chrec2:1868510	700.6	112.9	5.079	-584.678	1
chrec2:2105932	654.7	94.6	5.236	-552.969	1
chrec2:2585059	647.0	113.4	4.957	-533.122	1
chrec2:2998899	620.1	156.6	4.431	-478.057	1
chrec2:1074470	534.7	56.0	5.701	-467.702	1
chrec2:2912996	581.8	151.7	4.385	-446.088	1
chrec2:1099504	538.1	106.0	4.789	-433.446	1
chrec2:455728	737.2	521.3	2.945	-404.320	1
chrec2:2608749	493.6	108.5	4.632	-391.906	1
