### ChExMix replication codes
# Codes:
#     X : Event was not called in this condition
#     S : This condition only contains a single replicate
#     D : Called in one replicate or condition as a whole, significant difference detected across some replicates (binomial P-value, same threshold as --q)
#     1 : Called in one replicate or condition as a whole, NO significant difference detected across any replicates
#    >1 : Number of replicates in which binding event is called significant
#
#BindingEvent	SAMPLE
chrec2:2776678	S
chrec2:122894	S
chrec2:4042701	S
chrec2:3268678	S
chrec2:570743	S
chrec2:890275	S
chrec2:3826601	S
chrec2:2957578	S
chrec2:4030569	S
chrec2:2782147	S
chrec2:2354342	S
chrec2:4261180	S
chrec2:5123	S
chrec2:3249513	S
chrec2:3053141	S
chrec2:3648246	S
chrec2:3878357	S
chrec2:2257187	S
chrec2:2750321	S
chrec2:3042780	S
chrec2:3764971	S
chrec2:3934273	S
chrec2:4252419	S
chrec2:3639553	S
chrec2:180398	S
chrec2:4046836	S
chrec2:487008	S
chrec2:3614562	S
chrec2:703739	S
chrec2:3784887	S
chrec2:3411443	S
chrec2:4013528	S
chrec2:1413652	S
chrec2:3330365	S
chrec2:3971116	S
chrec2:3570331	S
chrec2:3897812	S
chrec2:3257991	S
chrec2:1410744	S
chrec2:3920879	S
chrec2:3446012	S
chrec2:1513197	S
chrec2:4016750	S
chrec2:3919202	S
chrec2:3061877	S
chrec2:4149199	S
chrec2:611944	S
chrec2:3934402	S
chrec2:3267060	S
chrec2:3462503	S
chrec2:3409986	S
chrec2:3149414	S
chrec2:3136996	S
chrec2:4478934	S
chrec2:2653674	S
chrec2:749280	S
chrec2:4098423	S
chrec2:3367975	S
chrec2:4077393	S
chrec2:2776602	S
chrec2:4317832	S
chrec2:2510003	S
chrec2:3771396	S
chrec2:3422324	S
chrec2:754889	S
chrec2:3099388	S
chrec2:2482003	S
chrec2:3506674	S
chrec2:2355750	S
chrec2:2063942	S
chrec2:593735	S
chrec2:3255335	S
chrec2:531485	S
chrec2:3570044	S
chrec2:3178021	S
chrec2:3538846	S
chrec2:2239916	S
chrec2:3657957	S
chrec2:3288908	S
chrec2:3657438	S
chrec2:40400	S
chrec2:2626981	S
chrec2:1906970	S
chrec2:3149301	S
chrec2:3793380	S
chrec2:37691	S
chrec2:3042516	S
chrec2:3440240	S
chrec2:2348079	S
chrec2:4201157	S
