### ChExMix replication codes
# Codes:
#     X : Event was not called in this condition
#     S : This condition only contains a single replicate
#     D : Called in one replicate or condition as a whole, significant difference detected across some replicates (binomial P-value, same threshold as --q)
#     1 : Called in one replicate or condition as a whole, NO significant difference detected across any replicates
#    >1 : Number of replicates in which binding event is called significant
#
#BindingEvent	SAMPLE
chrec2:2849139	S
chrec2:3578552	S
chrec2:2849260	S
chrec2:2690019	S
chrec2:4302908	S
chrec2:3434946	S
chrec2:2689989	S
chrec2:4266383	S
chrec2:2849176	S
chrec2:3144949	S
chrec2:3418805	S
chrec2:4072883	S
chrec2:3434798	S
chrec2:4039580	S
chrec2:689661	S
chrec2:471758	S
chrec2:1564846	S
chrec2:1312259	S
chrec2:4082290	S
chrec2:2836810	S
chrec2:848492	S
chrec2:2599804	S
chrec2:1403898	S
chrec2:1369730	S
chrec2:3332253	S
chrec2:1522703	S
chrec2:1873458	S
chrec2:2064137	S
chrec2:3667746	S
chrec2:703859	S
chrec2:261351	S
chrec2:2831077	S
chrec2:884084	S
chrec2:374135	S
chrec2:2491823	S
chrec2:4639497	S
chrec2:2325400	S
chrec2:2533963	S
chrec2:3503305	S
chrec2:3044635	S
chrec2:2433317	S
chrec2:2803356	S
chrec2:1868507	S
chrec2:2585062	S
chrec2:455725	S
chrec2:512534	S
chrec2:2182878	S
chrec2:2608752	S
chrec2:4444035	S
chrec2:2912996	S
chrec2:2105934	S
chrec2:1158007	S
chrec2:1099507	S
chrec2:3834914	S
chrec2:3170430	S
chrec2:2998898	S
chrec2:3013305	S
chrec2:2367193	S
chrec2:2328018	S
chrec2:1466632	S
chrec2:817136	S
chrec2:4620149	S
chrec2:2538827	S
chrec2:3674561	S
chrec2:3004816	S
chrec2:2328060	S
chrec2:2373203	S
chrec2:3954581	S
chrec2:1074473	S
chrec2:1841900	S
chrec2:3014632	S
chrec2:1833780	S
chrec2:2755446	S
chrec2:551098	S
chrec2:485021	S
chrec2:2797483	S
chrec2:1068871	S
chrec2:3349952	S
chrec2:3787181	S
chrec2:2815864	S
chrec2:2216158	S
chrec2:3309114	S
chrec2:1167533	S
chrec2:4553920	S
chrec2:1088939	S
chrec2:849940	S
chrec2:2846682	S
chrec2:619304	S
chrec2:1619072	S
chrec2:1785054	S
chrec2:1273972	S
chrec2:3372470	S
chrec2:2126561	S
chrec2:1794178	S
chrec2:4142181	S
chrec2:2376969	S
chrec2:3554981	S
chrec2:438686	S
chrec2:770391	S
chrec2:1354943	S
chrec2:48631	S
chrec2:1255303	S
chrec2:4612850	S
chrec2:1216123	S
chrec2:2521347	S
chrec2:818597	S
chrec2:3023794	S
chrec2:909058	S
chrec2:1962277	S
chrec2:2938355	S
chrec2:4618766	S
chrec2:3264099	S
chrec2:3552850	S
chrec2:987769	S
chrec2:2607092	S
chrec2:415496	S
chrec2:3132113	S
chrec2:3207315	S
chrec2:2324169	S
chrec2:3524664	S
chrec2:3933103	S
chrec2:3571929	S
chrec2:3416837	S
chrec2:2264306	S
chrec2:4157928	S
chrec2:71207	S
chrec2:4188732	S
chrec2:2381519	S
chrec2:940950	S
chrec2:3634424	S
chrec2:3075587	S
chrec2:2864765	S
chrec2:1539551	S
chrec2:1332552	S
chrec2:534342	S
chrec2:220656	S
chrec2:1016023	S
chrec2:2314438	S
chrec2:269016	S
chrec2:453245	S
chrec2:4348758	S
chrec2:2198287	S
chrec2:587002	S
chrec2:3242545	S
chrec2:2955390	S
chrec2:2083828	S
chrec2:3159721	S
chrec2:3527885	S
chrec2:3697617	S
chrec2:1468426	S
chrec2:3258127	S
chrec2:2038964	S
chrec2:4133923	S
chrec2:3081503	S
chrec2:1493409	S
chrec2:1180193	S
chrec2:1818078	S
chrec2:3668466	S
chrec2:2960710	S
chrec2:1266434	S
chrec2:235107	S
chrec2:3708259	S
chrec2:609395	S
chrec2:2734224	S
chrec2:2796348	S
chrec2:2181950	S
chrec2:3764245	S
chrec2:2132100	S
chrec2:3101062	S
chrec2:3079659	S
chrec2:918317	S
chrec2:4197787	S
chrec2:3627594	S
chrec2:4410686	S
chrec2:783160	S
chrec2:91483	S
chrec2:1722516	S
chrec2:3839913	S
chrec2:785928	S
chrec2:1167762	S
chrec2:3728380	S
chrec2:4430525	S
chrec2:4377025	S
chrec2:2526499	S
chrec2:3654060	S
chrec2:3600943	S
chrec2:3689769	S
chrec2:3423359	S
chrec2:223915	S
chrec2:1994020	S
chrec2:4397114	S
chrec2:2817189	S
chrec2:3654169	S
chrec2:2725080	S
chrec2:3694737	S
chrec2:3694109	S
chrec2:4211472	S
chrec2:3600630	S
chrec2:228521	S
chrec2:3695059	S
chrec2:4216394	S
chrec2:224414	S
chrec2:3427290	S
chrec2:3469515	S
chrec2:2523625	S
chrec2:3465285	S
chrec2:223596	S
chrec2:3690127	S
chrec2:3423878	S
chrec2:3601328	S
chrec2:3428437	S
chrec2:1994221	S
chrec2:3470232	S
chrec2:3461300	S
chrec2:3690445	S
chrec2:2725367	S
chrec2:4212875	S
chrec2:2729981	S
chrec2:3308550	S
chrec2:3468850	S
chrec2:4610770	S
chrec2:2729298	S
chrec2:3596586	S
chrec2:3427779	S
chrec2:3469277	S
chrec2:3469889	S
chrec2:3424929	S
chrec2:3318225	S
chrec2:3598459	S
chrec2:4212168	S
chrec2:3725261	S
chrec2:3599106	S
chrec2:3428040	S
chrec2:3599456	S
chrec2:2946076	S
chrec2:2727112	S
chrec2:3597487	S
chrec2:3596399	S
