### ChExMix replication codes
# Codes:
#     X : Event was not called in this condition
#     S : This condition only contains a single replicate
#     D : Called in one replicate or condition as a whole, significant difference detected across some replicates (binomial P-value, same threshold as --q)
#     1 : Called in one replicate or condition as a whole, NO significant difference detected across any replicates
#    >1 : Number of replicates in which binding event is called significant
#
#BindingEvent	SAMPLE
chrec2:693896	S
chrec2:4375290	S
chrec2:3772893	S
chrec2:3327594	S
chrec2:494295	S
chrec2:12043	S
chrec2:458032	S
chrec2:1864326	S
chrec2:663133	S
chrec2:1341849	S
chrec2:4373277	S
chrec2:1029151	S
chrec2:4111315	S
chrec2:3995171	S
chrec2:1385778	S
chrec2:3514327	S
chrec2:1122612	S
chrec2:2749409	S
chrec2:2732866	S
chrec2:922328	S
chrec2:517515	S
chrec2:455824	S
chrec2:3486240	S
chrec2:12117	S
chrec2:1445228	S
chrec2:4435757	S
chrec2:63594	S
chrec2:4404074	S
chrec2:4165609	S
chrec2:2170166	S
chrec2:2780937	S
chrec2:3211336	S
chrec2:1332687	S
chrec2:4094963	S
chrec2:2926577	S
chrec2:1175573	S
chrec2:3759585	S
chrec2:516412	S
chrec2:22213	S
chrec2:3874321	S
chrec2:415422	S
chrec2:239265	S
chrec2:4200864	S
chrec2:1295889	S
chrec2:1534558	S
chrec2:387713	S
chrec2:4442228	S
chrec2:3792879	S
chrec2:2050380	S
chrec2:231066	S
chrec2:4639924	S
chrec2:4097978	S
chrec2:4015014	S
chrec2:2668479	S
chrec2:1264566	S
chrec2:3422553	S
chrec2:1898529	S
chrec2:3284290	S
chrec2:379936	S
chrec2:1747921	S
chrec2:2241556	S
chrec2:2770533	S
chrec2:1670308	S
chrec2:1914337	S
chrec2:2011946	S
chrec2:2910146	S
chrec2:2070996	S
chrec2:1260288	S
chrec2:3696593	S
chrec2:4545913	S
chrec2:2660816	S
chrec2:4217728	S
chrec2:1280896	S
chrec2:3402418	S
chrec2:3985108	S
chrec2:2293753	S
chrec2:3934410	S
chrec2:4353707	S
chrec2:3401594	S
chrec2:4366113	S
chrec2:1612436	S
chrec2:4040722	S
chrec2:3080307	S
chrec2:451032	S
chrec2:433745	S
chrec2:2377802	S
chrec2:2967579	S
chrec2:3667630	S
chrec2:570733	S
chrec2:1770810	S
chrec2:2540893	S
chrec2:57339	S
chrec2:2273363	S
chrec2:4530788	S
chrec2:3746480	S
chrec2:3518142	S
chrec2:706411	S
chrec2:4225142	S
chrec2:1192067	S
chrec2:3721528	S
chrec2:3801041	S
chrec2:3084533	S
chrec2:3509807	S
chrec2:4488959	S
chrec2:997972	S
chrec2:3944282	S
chrec2:4009638	S
chrec2:58863	S
chrec2:3982701	S
chrec2:4260916	S
chrec2:4042621	S
chrec2:4207918	S
chrec2:4123129	S
chrec2:3975223	S
chrec2:2481993	S
chrec2:3965883	S
chrec2:3049518	S
chrec2:4397173	S
chrec2:4610940	S
chrec2:3460994	S
chrec2:2816865	S
chrec2:1994129	S
chrec2:2526521	S
chrec2:2729921	S
chrec2:3654115	S
chrec2:4212011	S
chrec2:2523544	S
chrec2:697238	S
chrec2:3654056	S
chrec2:3322166	S
chrec2:3600892	S
chrec2:2526640	S
chrec2:3318110	S
chrec2:3469678	S
chrec2:224359	S
chrec2:2946230	S
chrec2:3694399	S
chrec2:3428253	S
chrec2:3694478	S
chrec2:3599229	S
chrec2:781448	S
