### ChExMix output
#Replicate	ParentCond	Name	Index	SigCount	CtrlCount	CtrlScaling	SignalFraction
#Replicate	SAMPLE	SAMPLE:1	0	990738.0	291723.0	2.854	0.592
#
#Point	SAMPLE:1_Sig	SAMPLE:1_Ctrl	SAMPLE:1_log2Fold	SAMPLE:1_log2Q
chrec2:3695173	6658.2	510.2	2.193	-Infinity
chrec2:3601451	5438.6	428.1	2.154	-Infinity
chrec2:3470323	5409.5	428.3	2.146	-Infinity
chrec2:3461306	5383.7	467.7	2.012	-Infinity
chrec2:3318232	5306.7	338.6	2.457	-Infinity
chrec2:3458333	5162.1	235.4	2.942	-Infinity
chrec2:3322449	5037.6	641.7	1.460	-Infinity
chrec2:3586786	5032.7	270.7	2.704	-Infinity
chrec2:4211361	4793.0	388.7	2.111	-Infinity
chrec2:3931711	4515.2	346.2	2.192	-Infinity
chrec2:4429697	4353.4	142.1	3.424	-Infinity
chrec2:259486	4160.2	243.8	2.580	-Infinity
chrec2:4186969	4029.0	434.8	1.699	-Infinity
chrec2:223477	4021.0	434.3	1.698	-Infinity
chrec2:3828595	3887.3	286.9	2.247	-Infinity
chrec2:3756186	3860.0	235.0	2.525	-Infinity
chrec2:1032146	3828.0	258.4	2.376	-Infinity
chrec2:2730113	3642.4	298.7	2.095	-Infinity
chrec2:2754239	3475.3	249.8	2.285	-Infinity
chrec2:4165789	3453.0	192.0	2.656	-Infinity
chrec2:4039405	3367.3	218.2	2.435	-Infinity
chrec2:3428826	3133.4	270.4	2.022	-Infinity
chrec2:4501056	3037.6	166.9	2.672	-Infinity
chrec2:3109875	3014.6	88.6	3.576	-Infinity
chrec2:1051138	2940.1	101.8	3.339	-Infinity
chrec2:3920530	2900.0	228.8	2.151	-Infinity
chrec2:2619572	2887.5	57.0	4.149	-Infinity
chrec2:3377428	2846.7	135.7	2.878	-Infinity
chrec2:4577012	2783.2	171.6	2.507	-Infinity
chrec2:3209368	2652.4	175.8	2.403	-Infinity
chrec2:4335008	2449.7	138.0	2.637	-Infinity
chrec2:1802539	2422.7	151.1	2.490	-Infinity
chrec2:3378671	2356.7	138.5	2.575	-Infinity
chrec2:259390	2278.8	125.2	2.673	-Infinity
chrec2:2273156	2245.0	73.3	3.424	-Infinity
chrec2:2809396	2099.4	58.0	3.665	-Infinity
chrec2:1620799	2025.1	80.9	3.133	-Infinity
chrec2:4624241	2524.6	177.4	2.318	-1056.476
chrec2:2946032	3982.1	447.6	1.640	-1052.675
chrec2:3920507	2848.0	236.4	2.077	-1040.118
chrec2:4396983	6291.6	982.0	1.167	-991.304
chrec2:3214247	1930.5	99.4	2.766	-990.951
chrec2:21128	2774.6	236.4	2.040	-989.870
chrec2:4367314	2918.6	264.1	1.953	-983.319
chrec2:4192188	2339.7	164.0	2.322	-980.551
chrec2:2632843	1814.2	86.8	2.872	-969.521
chrec2:122032	1784.2	82.5	2.921	-969.089
chrec2:189706	1811.3	90.0	2.817	-946.054
chrec2:2632766	1530.0	55.1	3.282	-930.834
chrec2:4380329	1483.2	49.9	3.380	-927.181
chrec2:2285767	1779.9	92.7	2.750	-907.397
chrec2:16934	1667.2	83.1	2.813	-869.850
chrec2:697595	3247.1	364.3	1.643	-860.926
chrec2:2064379	2707.6	263.7	1.847	-846.068
chrec2:106505	2476.2	225.7	1.943	-827.388
chrec2:3509775	1710.5	99.5	2.590	-814.784
chrec2:1170577	1524.0	74.5	2.841	-804.523
chrec2:1301015	1403.1	58.3	3.076	-802.425
chrec2:1624620	1620.6	90.1	2.655	-793.954
chrec2:262055	3858.9	519.7	1.379	-789.729
chrec2:21215	1960.6	150.6	2.189	-766.232
chrec2:2060257	2339.9	218.2	1.910	-765.155
chrec2:490529	1068.7	24.4	3.941	-759.041
chrec2:3167216	1338.9	57.0	3.041	-757.912
chrec2:926439	2497.8	250.5	1.805	-756.560
chrec2:4477237	1088.7	27.2	3.810	-753.560
chrec2:3333378	2329.8	226.1	1.852	-730.521
chrec2:3385319	1268.2	52.5	3.082	-727.445
chrec2:563915	1306.9	61.4	2.898	-703.809
chrec2:3670536	1585.8	103.0	2.431	-701.942
chrec2:2997729	2120.9	198.4	1.905	-690.852
chrec2:2289533	1901.7	161.4	2.046	-681.240
chrec2:2662055	1512.0	97.1	2.448	-675.390
chrec2:1302389	1725.6	135.1	2.162	-663.636
chrec2:1759104	1405.5	84.4	2.545	-658.320
chrec2:3034987	1182.6	55.0	2.913	-639.008
chrec2:3457065	2439.6	279.1	1.615	-631.460
chrec2:856350	912.3	23.6	3.762	-623.465
chrec2:962135	1070.6	46.3	3.018	-599.799
chrec2:2167724	886.7	24.0	3.696	-598.331
chrec2:1644128	1059.3	45.5	3.029	-598.059
chrec2:3410095	998.7	37.6	3.217	-596.591
chrec2:2614591	900.0	26.3	3.585	-590.821
chrec2:2923704	1090.7	51.1	2.903	-589.578
chrec2:1020608	1309.6	86.4	2.409	-575.085
chrec2:3903157	1071.9	52.1	2.848	-567.943
chrec2:3311647	1439.9	110.0	2.197	-565.670
chrec2:4410719	1053.6	50.6	2.866	-561.488
chrec2:121683	818.1	21.1	3.766	-559.274
chrec2:607011	882.4	30.3	3.350	-546.919
chrec2:4501086	1039.4	51.6	2.819	-543.298
chrec2:528239	970.3	42.7	2.993	-541.645
chrec2:4059404	853.1	28.0	3.416	-540.202
chrec2:1085288	842.4	26.8	3.462	-537.411
chrec2:3318159	2166.7	257.5	1.560	-533.916
chrec2:3209295	972.6	46.2	2.883	-522.249
chrec2:400913	835.7	28.4	3.365	-518.752
chrec2:3654327	5019.6	942.3	0.900	-517.130
chrec2:3164675	979.1	48.7	2.815	-510.936
chrec2:2316411	1176.7	79.7	2.372	-506.961
chrec2:2536735	911.3	40.3	2.986	-504.978
chrec2:2089404	848.7	33.0	3.174	-498.893
chrec2:113385	1289.3	100.5	2.169	-498.602
chrec2:3635494	1230.5	92.4	2.222	-490.422
chrec2:3756307	854.2	35.5	3.074	-488.136
chrec2:4031301	1000.4	56.2	2.640	-487.438
chrec2:2418689	847.0	34.7	3.095	-486.757
chrec2:1215681	738.2	23.5	3.463	-473.290
chrec2:433830	741.8	23.8	3.446	-469.924
chrec2:1289249	1716.4	191.0	1.655	-459.684
chrec2:919529	907.6	48.3	2.719	-458.074
chrec2:2471744	1068.6	73.3	2.354	-455.154
chrec2:675274	748.4	27.4	3.258	-451.404
chrec2:2061972	1792.8	209.9	1.581	-449.571
chrec2:2946066	1654.9	182.4	1.669	-449.333
chrec2:1153156	844.1	40.8	2.856	-448.121
chrec2:3054624	1390.7	132.6	1.878	-444.934
chrec2:4277668	1432.5	140.8	1.834	-444.419
chrec2:2344133	873.5	45.7	2.744	-443.754
chrec2:3109012	1409.2	137.1	1.848	-440.913
chrec2:3340104	886.8	49.0	2.666	-437.761
chrec2:3650241	1196.4	100.7	2.058	-431.619
chrec2:657678	813.2	39.3	2.857	-431.138
chrec2:1630039	684.7	22.4	3.418	-430.615
chrec2:1167551	883.4	49.8	2.636	-429.093
chrec2:3470203	5223.8	1067.4	0.778	-420.077
chrec2:2744916	1202.9	105.2	2.003	-419.010
chrec2:3601331	5391.3	1115.6	0.760	-415.821
chrec2:3943673	821.1	44.4	2.694	-410.152
chrec2:4048038	724.7	31.4	3.015	-407.168
chrec2:2523709	2067.3	287.0	1.335	-403.185
chrec2:3353901	1012.1	77.3	2.197	-397.626
chrec2:4260686	691.6	29.4	3.045	-392.829
chrec2:416320	740.3	35.9	2.853	-392.248
chrec2:2817363	2447.4	379.6	1.176	-391.230
chrec2:2721318	832.6	50.5	2.531	-386.025
chrec2:3348264	690.5	32.2	2.910	-374.903
chrec2:2046668	1563.2	189.6	1.530	-374.229
chrec2:1875918	582.9	18.8	3.441	-370.694
chrec2:4576818	525.3	12.8	3.851	-365.436
chrec2:706479	605.5	22.5	3.239	-362.736
chrec2:1148362	864.6	62.2	2.283	-356.519
chrec2:1994326	3440.4	648.3	0.895	-351.429
chrec2:695418	518.2	14.2	3.678	-347.876
