### ChExMix output
#Condition	Name	Index	TotalSigCount	SigCtrlScaling	SignalFraction
#Condition	SAMPLE	0	1534228.0	5.708	0.558
#Replicate	ParentCond	Name	Index	SigCount	CtrlCount	SigCtrlScaling	SignalFraction
#Replicate	SAMPLE	SAMPLE:1	0	1534228.0	291723.0	5.7085	0.558
#
#Point	SAMPLE_Sig	SAMPLE_Ctrl	SAMPLE_log2Fold	SAMPLE_log2Q	ActiveConds
chrec2:2776678	2375.5	9.6	5.441	-Infinity	1
chrec2:122894	2296.2	63.9	2.654	-Infinity	1
chrec2:4042701	2258.1	58.8	2.750	-Infinity	1
chrec2:3268678	1894.3	17.4	4.253	-Infinity	1
chrec2:570743	1855.1	18.1	4.165	-Infinity	1
chrec2:890275	1848.7	10.8	4.911	-Infinity	1
chrec2:3826601	1847.8	17.9	4.178	-Infinity	1
chrec2:2957578	1752.2	12.1	4.670	-Infinity	1
chrec2:4030569	1742.2	23.7	3.688	-Infinity	1
chrec2:2782147	1728.1	7.5	5.334	-Infinity	1
chrec2:2354342	1565.0	12.6	4.443	-Infinity	1
chrec2:4261180	1559.7	17.1	3.999	-Infinity	1
chrec2:5123	1545.0	15.2	4.151	-Infinity	1
chrec2:3249513	1539.4	11.7	4.524	-Infinity	1
chrec2:3053141	1453.9	8.9	4.835	-Infinity	1
chrec2:3648246	1446.7	12.8	4.304	-Infinity	1
chrec2:3878357	1399.3	10.8	4.502	-Infinity	1
chrec2:2257187	1360.3	6.4	5.214	-Infinity	1
chrec2:2750321	1352.3	7.7	4.943	-Infinity	1
chrec2:3042780	1321.1	7.8	4.887	-Infinity	1
chrec2:3764971	1298.0	4.4	5.701	-Infinity	1
chrec2:3934273	1270.7	4.4	5.668	-Infinity	1
chrec2:4252419	1266.5	4.4	5.644	-Infinity	1
chrec2:3639553	1399.1	12.3	4.319	-1056.896	1
chrec2:180398	1559.7	21.4	3.677	-1048.339	1
chrec2:4046836	1172.6	3.3	5.949	-1047.814	1
chrec2:487008	1325.5	9.7	4.579	-1040.150	1
chrec2:3614562	1610.5	24.9	3.499	-1036.153	1
chrec2:703739	1207.3	5.2	5.333	-1031.166	1
chrec2:3784887	1290.1	8.7	4.699	-1029.330	1
chrec2:3411443	1507.2	19.8	3.739	-1027.458	1
chrec2:4013528	1398.5	13.8	4.146	-1026.867	1
chrec2:1413652	1253.5	7.2	4.921	-1024.985	1
chrec2:3330365	1576.3	23.7	3.543	-1024.963	1
chrec2:3971116	1579.0	24.3	3.510	-1019.733	1
chrec2:3570331	1154.4	3.8	5.728	-1016.274	1
chrec2:3897812	1573.7	25.4	3.441	-999.873	1
chrec2:3257991	1303.6	10.7	4.412	-998.852	1
chrec2:1410744	1241.5	8.8	4.625	-979.781	1
chrec2:3920879	1591.7	27.7	3.331	-979.605	1
chrec2:3446012	1522.4	23.7	3.494	-977.783	1
chrec2:1513197	1098.5	3.5	5.784	-971.468	1
chrec2:4016750	1435.8	19.3	3.704	-968.281	1
chrec2:3919202	1258.4	10.8	4.348	-958.061	1
chrec2:3061877	1005.1	0.9	9.973	-954.445	1
chrec2:4149199	1218.3	9.2	4.539	-951.170	1
chrec2:611944	1292.9	12.9	4.136	-950.040	1
chrec2:3934402	1077.2	3.8	5.619	-941.855	1
chrec2:3267060	1363.7	17.0	3.809	-940.890	1
chrec2:3462503	1342.1	16.2	3.855	-936.567	1
chrec2:3409986	1489.5	25.0	3.386	-931.419	1
chrec2:3149414	1211.9	10.3	4.363	-924.772	1
chrec2:3136996	1099.7	5.4	5.158	-923.841	1
chrec2:4478934	1571.5	31.4	3.130	-913.277	1
chrec2:2653674	1103.6	6.0	5.017	-910.429	1
chrec2:749280	1125.8	7.5	4.717	-901.337	1
chrec2:4098423	1150.3	8.9	4.508	-894.808	1
chrec2:3367975	1042.4	4.3	5.394	-894.733	1
chrec2:4077393	1166.0	9.9	4.372	-888.942	1
chrec2:2776602	1001.9	3.0	5.870	-887.045	1
chrec2:4317832	1182.4	11.0	4.233	-884.650	1
chrec2:2510003	1051.6	5.1	5.174	-881.201	1
chrec2:3771396	1093.2	7.0	4.772	-877.797	1
chrec2:3422324	1054.8	5.5	5.081	-875.908	1
chrec2:754889	1085.4	7.8	4.602	-856.413	1
