### ChExMix output
#Replicate	ParentCond	Name	Index	SigCount	CtrlCount	CtrlScaling	SignalFraction
#Replicate	SAMPLE	SAMPLE:1	0	878940.0	291723.0	5.630	0.173
#
#Point	SAMPLE:1_Sig	SAMPLE:1_Ctrl	SAMPLE:1_log2Fold	SAMPLE:1_log2Q
chrec2:693896	5404.5	46.9	4.355	-Infinity
chrec2:4375290	3365.5	68.4	3.128	-Infinity
chrec2:3772893	3335.7	102.5	2.531	-Infinity
chrec2:3327594	3258.1	137.6	2.073	-Infinity
chrec2:494295	3109.5	44.2	3.645	-Infinity
chrec2:12043	3086.4	127.4	2.106	-Infinity
chrec2:458032	2876.2	77.1	2.728	-Infinity
chrec2:1864326	2722.8	56.7	3.092	-Infinity
chrec2:663133	1873.4	32.2	3.369	-Infinity
chrec2:1341849	1316.5	18.0	3.702	-888.071
chrec2:4373277	1845.8	56.5	2.538	-860.795
chrec2:1029151	1319.9	29.9	2.972	-728.674
chrec2:4111315	1356.7	34.9	2.789	-700.625
chrec2:3995171	1655.5	59.7	2.300	-685.784
chrec2:1385778	860.2	11.9	3.681	-576.595
chrec2:3514327	1582.8	85.1	1.725	-449.894
chrec2:1122612	943.7	31.2	2.424	-417.305
chrec2:2749409	1107.5	45.3	2.120	-415.524
chrec2:2732866	1194.3	53.0	2.002	-414.775
chrec2:922328	656.5	13.4	3.117	-380.567
chrec2:517515	597.2	13.4	2.988	-330.521
chrec2:455824	769.3	34.1	2.001	-266.615
chrec2:3486240	474.9	12.3	2.775	-243.427
chrec2:12117	921.5	63.5	1.365	-186.082
chrec2:1445228	345.7	8.6	2.834	-181.115
chrec2:4435757	320.0	7.2	2.973	-176.401
chrec2:63594	454.0	19.4	2.056	-162.717
chrec2:4404074	992.0	82.1	1.102	-142.653
chrec2:4165609	1471.1	144.9	0.851	-138.076
chrec2:2170166	237.5	4.8	3.133	-135.712
chrec2:2780937	220.6	5.9	2.721	-110.329
chrec2:3211336	636.7	52.6	1.105	-91.477
chrec2:1332687	342.6	20.1	1.598	-86.362
chrec2:4094963	338.4	23.4	1.360	-68.218
chrec2:2926577	324.4	22.2	1.379	-66.733
chrec2:1175573	122.9	3.4	2.690	-58.328
chrec2:3759585	175.1	8.1	1.942	-57.921
chrec2:516412	139.8	5.2	2.259	-55.563
chrec2:22213	162.3	8.0	1.845	-49.474
chrec2:3874321	181.2	10.0	1.687	-49.117
chrec2:415422	129.8	5.3	2.130	-48.530
chrec2:239265	139.2	6.4	1.956	-47.382
chrec2:4200864	778.1	87.4	0.660	-47.235
chrec2:1295889	63.4	0.6	5.985	-44.123
chrec2:1534558	100.3	3.5	2.343	-42.583
chrec2:387713	114.4	5.0	2.026	-38.979
chrec2:4442228	102.8	4.5	2.008	-35.441
chrec2:3792879	61.1	1.2	3.195	-34.866
chrec2:2050380	57.4	1.0	3.314	-34.606
chrec2:231066	192.2	14.6	1.225	-32.442
chrec2:4639924	347.3	34.3	0.847	-32.265
chrec2:4097978	60.3	1.5	2.831	-30.056
chrec2:4015014	107.3	6.0	1.670	-29.416
chrec2:2668479	57.9	1.6	2.705	-28.509
chrec2:1264566	70.9	2.7	2.229	-27.013
chrec2:3422553	66.1	2.6	2.197	-24.899
chrec2:1898529	145.0	11.6	1.147	-22.232
chrec2:3284290	42.9	1.2	2.636	-20.345
chrec2:379936	62.8	3.0	1.920	-20.259
chrec2:1747921	93.0	6.7	1.308	-17.376
chrec2:2241556	40.9	1.4	2.362	-17.191
chrec2:2770533	106.5	8.4	1.176	-16.429
chrec2:1670308	51.2	2.5	1.851	-14.876
chrec2:1914337	335.3	41.0	0.538	-14.661
chrec2:2011946	38.5	1.6	2.141	-14.329
chrec2:2910146	63.3	3.9	1.511	-14.049
chrec2:2070996	44.7	2.0	2.013	-13.917
chrec2:1260288	61.1	3.8	1.525	-13.875
chrec2:3696593	35.6	1.4	2.209	-13.674
chrec2:4545913	91.3	7.3	1.153	-13.669
chrec2:2660816	215.0	24.1	0.662	-13.517
chrec2:4217728	63.8	4.8	1.247	-11.358
chrec2:1280896	41.0	2.3	1.680	-10.972
chrec2:3402418	37.7	1.8	1.915	-10.648
chrec2:3985108	42.7	2.3	1.707	-10.590
chrec2:2293753	66.9	6.1	0.969	-7.522
chrec2:3934410	29.3	1.7	1.620	-6.779
chrec2:4353707	72.9	7.1	0.861	-6.367
chrec2:3401594	31.4	2.3	1.286	-5.848
chrec2:4366113	29.0	2.1	1.299	-5.066
chrec2:1612436	58.8	6.0	0.796	-4.976
chrec2:4040722	87.1	10.0	0.630	-4.684
chrec2:3080307	48.1	4.7	0.858	-4.301
chrec2:451032	96.8	11.9	0.534	-4.122
chrec2:433745	53.3	5.5	0.776	-3.798
chrec2:2377802	28.2	2.5	1.016	-3.716
