### ChExMix replication codes
# Codes:
#     X : Event was not called in this condition
#     S : This condition only contains a single replicate
#     D : Called in one replicate or condition as a whole, significant difference detected across some replicates (binomial P-value, same threshold as --q)
#     1 : Called in one replicate or condition as a whole, NO significant difference detected across any replicates
#    >1 : Number of replicates in which binding event is called significant
#
#BindingEvent	SAMPLE
chrec2:3410058	S
chrec2:3965721	S
chrec2:2182069	S
chrec2:3668865	S
chrec2:4429586	S
chrec2:3146421	S
chrec2:2997916	S
chrec2:3883851	S
chrec2:2349145	S
chrec2:2957703	S
chrec2:3535200	S
chrec2:2410241	S
chrec2:3932360	S
chrec2:2967984	S
chrec2:3217930	S
chrec2:4031338	S
chrec2:2462407	S
chrec2:3535256	S
chrec2:4576746	S
chrec2:4042571	S
chrec2:3171184	S
chrec2:611839	S
chrec2:3967992	S
chrec2:418508	S
chrec2:4146571	S
chrec2:878618	S
chrec2:4429531	S
chrec2:4281813	S
chrec2:3562999	S
chrec2:4297769	S
chrec2:3765101	S
chrec2:3962597	S
chrec2:2538771	S
chrec2:3238203	S
chrec2:663172	S
chrec2:4291079	S
chrec2:4508295	S
chrec2:1167445	S
chrec2:1997858	S
chrec2:2229029	S
chrec2:4532335	S
chrec2:2483250	S
chrec2:4273756	S
chrec2:4042784	S
chrec2:3822753	S
chrec2:3436765	S
chrec2:1766885	S
chrec2:1744649	S
chrec2:2182014	S
chrec2:3409987	S
chrec2:4274246	S
chrec2:1928430	S
chrec2:3404627	S
chrec2:3409959	S
chrec2:4372842	S
chrec2:3332001	S
chrec2:4281706	S
chrec2:2023304	S
chrec2:3562951	S
chrec2:4005183	S
chrec2:4642673	S
chrec2:2968297	S
chrec2:1698879	S
chrec2:3983278	S
chrec2:4540269	S
chrec2:2196368	S
chrec2:2875990	S
chrec2:2272656	S
chrec2:4585646	S
chrec2:2418885	S
chrec2:3913640	S
chrec2:4375118	S
chrec2:1990469	S
chrec2:1394677	S
chrec2:4483328	S
chrec2:4014684	S
chrec2:2489700	S
chrec2:3217998	S
chrec2:3146457	S
chrec2:232503	S
chrec2:2410204	S
chrec2:3797004	S
chrec2:3491057	S
chrec2:842573	S
chrec2:2978867	S
chrec2:4026565	S
chrec2:2874053	S
chrec2:4536364	S
chrec2:1065593	S
chrec2:2586453	S
chrec2:3698477	S
chrec2:3965655	S
chrec2:4279492	S
chrec2:1311882	S
chrec2:1493288	S
chrec2:4222516	S
chrec2:1362805	S
chrec2:4454604	S
chrec2:4355142	S
chrec2:4371875	S
chrec2:2653550	S
chrec2:2422604	S
chrec2:2880542	S
chrec2:4028962	S
chrec2:4348777	S
chrec2:3718100	S
chrec2:813423	S
chrec2:878466	S
chrec2:661133	S
chrec2:3111880	S
chrec2:1714423	S
chrec2:3045055	S
chrec2:2666790	S
chrec2:3626538	S
chrec2:4595987	S
chrec2:4243671	S
chrec2:1603007	S
chrec2:2888744	S
chrec2:4218899	S
chrec2:579595	S
chrec2:2035022	S
chrec2:3121434	S
chrec2:1273542	S
chrec2:4461307	S
chrec2:4313044	S
chrec2:1638543	S
chrec2:1698106	S
chrec2:2461412	S
chrec2:562487	S
chrec2:3618165	S
chrec2:1346577	S
chrec2:3806935	S
chrec2:3868353	S
chrec2:2959106	S
chrec2:1458265	S
chrec2:894294	S
chrec2:4117579	S
chrec2:1776099	S
chrec2:3562850	S
chrec2:3306488	S
chrec2:186432	S
chrec2:3832131	S
chrec2:3473033	S
chrec2:4330464	S
chrec2:3822448	S
chrec2:2766618	S
chrec2:1016085	S
chrec2:978138	S
chrec2:2742165	S
chrec2:3738740	S
chrec2:641287	S
chrec2:3538981	S
chrec2:418814	S
chrec2:2797648	S
chrec2:813390	S
chrec2:3161456	S
chrec2:3698838	S
chrec2:2751117	S
chrec2:2956087	S
chrec2:656656	S
chrec2:4461264	S
chrec2:3464542	S
chrec2:3366778	S
chrec2:2738916	S
chrec2:4312997	S
chrec2:2787592	S
chrec2:1251282	S
chrec2:3109338	S
chrec2:4446753	S
chrec2:4119367	S
chrec2:1006266	S
chrec2:1519130	S
chrec2:2001063	S
chrec2:3863865	S
chrec2:4573440	S
chrec2:4132607	S
chrec2:1104434	S
chrec2:2978824	S
chrec2:922918	S
chrec2:3736320	S
chrec2:3999267	S
chrec2:1699033	S
chrec2:4184311	S
chrec2:2418761	S
chrec2:2044943	S
chrec2:2838189	S
chrec2:457923	S
chrec2:4100351	S
chrec2:81252	S
chrec2:2577471	S
chrec2:3639118	S
chrec2:1871832	S
chrec2:724211	S
chrec2:4243837	S
chrec2:4510559	S
chrec2:966910	S
chrec2:2466729	S
chrec2:643370	S
chrec2:2463369	S
chrec2:2078275	S
chrec2:4300660	S
chrec2:3183710	S
chrec2:1988581	S
chrec2:3655941	S
chrec2:2603372	S
chrec2:3335125	S
chrec2:3783981	S
chrec2:1252039	S
chrec2:2883926	S
chrec2:4314008	S
chrec2:3847721	S
chrec2:1510941	S
chrec2:3159822	S
chrec2:1961744	S
chrec2:3276819	S
chrec2:1448172	S
chrec2:4577930	S
chrec2:1897783	S
chrec2:4235123	S
chrec2:2167261	S
chrec2:2763981	S
chrec2:3068609	S
chrec2:1064359	S
chrec2:1057704	S
chrec2:1939285	S
chrec2:2926381	S
chrec2:4387230	S
chrec2:167356	S
chrec2:923085	S
chrec2:3126742	S
chrec2:2404238	S
chrec2:2796216	S
chrec2:471649	S
chrec2:1978798	S
chrec2:2186416	S
chrec2:3498958	S
chrec2:2409629	S
chrec2:3625671	S
chrec2:3613106	S
chrec2:1917844	S
chrec2:3088903	S
chrec2:1052550	S
chrec2:2273043	S
chrec2:2545009	S
chrec2:3529271	S
chrec2:1046072	S
chrec2:4409267	S
chrec2:3776486	S
chrec2:3158042	S
chrec2:4146408	S
chrec2:740821	S
chrec2:2116776	S
chrec2:2866823	S
chrec2:4467663	S
chrec2:1960142	S
chrec2:2693016	S
chrec2:2765254	S
chrec2:2319116	S
chrec2:2494077	S
chrec2:4426157	S
chrec2:2641761	S
chrec2:1394098	S
chrec2:3049371	S
chrec2:4247063	S
chrec2:2722177	S
chrec2:2318794	S
chrec2:987858	S
chrec2:1942025	S
chrec2:4156087	S
chrec2:2193929	S
chrec2:1241825	S
chrec2:3535169	S
chrec2:553642	S
chrec2:2388816	S
chrec2:4143464	S
chrec2:1943552	S
chrec2:3821749	S
chrec2:3068776	S
chrec2:1346409	S
chrec2:3831285	S
chrec2:251090	S
chrec2:4112606	S
chrec2:2530988	S
chrec2:3324274	S
chrec2:2593610	S
chrec2:3013230	S
chrec2:3004406	S
chrec2:2425542	S
chrec2:1810888	S
chrec2:1681701	S
chrec2:2116988	S
chrec2:1580358	S
chrec2:1220435	S
chrec2:4201432	S
