### ChExMix output
#Condition	Name	Index	TotalSigCount	SigCtrlScaling	SignalFraction
#Condition	SAMPLE	0	878940.0	5.630	0.173
#Replicate	ParentCond	Name	Index	SigCount	CtrlCount	SigCtrlScaling	SignalFraction
#Replicate	SAMPLE	SAMPLE:1	0	878940.0	291723.0	5.6299	0.173
#
#Point	SAMPLE_Sig	SAMPLE_Ctrl	SAMPLE_log2Fold	SAMPLE_log2Q	ActiveConds
chrec2:693896	5404.5	46.9	4.355	-Infinity	1
chrec2:4375290	3365.5	68.4	3.128	-Infinity	1
chrec2:3772893	3335.7	102.5	2.531	-Infinity	1
chrec2:3327594	3258.1	137.6	2.073	-Infinity	1
chrec2:494295	3109.5	44.2	3.645	-Infinity	1
chrec2:12043	3086.4	127.4	2.106	-Infinity	1
chrec2:458032	2876.2	77.1	2.728	-Infinity	1
chrec2:1864326	2722.8	56.7	3.092	-Infinity	1
chrec2:663133	1873.4	32.2	3.369	-Infinity	1
chrec2:1341849	1316.5	18.0	3.702	-888.071	1
chrec2:4373277	1845.8	56.5	2.538	-860.795	1
chrec2:1029151	1319.9	29.9	2.972	-728.674	1
chrec2:4111315	1356.7	34.9	2.789	-700.625	1
chrec2:3995171	1655.5	59.7	2.300	-685.784	1
chrec2:1385778	860.2	11.9	3.681	-576.595	1
chrec2:3514327	1582.8	85.1	1.725	-449.894	1
chrec2:1122612	943.7	31.2	2.424	-417.305	1
chrec2:2749409	1107.5	45.3	2.120	-415.524	1
chrec2:2732866	1194.3	53.0	2.002	-414.775	1
chrec2:922328	656.5	13.4	3.117	-380.567	1
chrec2:517515	597.2	13.4	2.988	-330.521	1
chrec2:455824	769.3	34.1	2.001	-266.615	1
chrec2:3486240	474.9	12.3	2.775	-243.427	1
chrec2:12117	921.5	63.5	1.365	-186.082	1
chrec2:1445228	345.7	8.6	2.834	-181.115	1
chrec2:4435757	320.0	7.2	2.973	-176.401	1
chrec2:63594	454.0	19.4	2.056	-162.717	1
chrec2:4404074	992.0	82.1	1.102	-142.653	1
chrec2:4165609	1471.1	144.9	0.851	-138.076	1
chrec2:2170166	237.5	4.8	3.133	-135.712	1
chrec2:2780937	220.6	5.9	2.721	-110.329	1
chrec2:3211336	636.7	52.6	1.105	-91.477	1
chrec2:1332687	342.6	20.1	1.598	-86.362	1
chrec2:4094963	338.4	23.4	1.360	-68.218	1
chrec2:2926577	324.4	22.2	1.379	-66.733	1
chrec2:1175573	122.9	3.4	2.690	-58.328	1
chrec2:3759585	175.1	8.1	1.942	-57.921	1
chrec2:516412	139.8	5.2	2.259	-55.563	1
chrec2:22213	162.3	8.0	1.845	-49.474	1
chrec2:3874321	181.2	10.0	1.687	-49.117	1
chrec2:415422	129.8	5.3	2.130	-48.530	1
chrec2:239265	139.2	6.4	1.956	-47.382	1
chrec2:4200864	778.1	87.4	0.660	-47.235	1
chrec2:1295889	63.4	0.6	5.985	-44.123	1
chrec2:1534558	100.3	3.5	2.343	-42.583	1
chrec2:387713	114.4	5.0	2.026	-38.979	1
chrec2:4442228	102.8	4.5	2.008	-35.441	1
chrec2:3792879	61.1	1.2	3.195	-34.866	1
chrec2:2050380	57.4	1.0	3.314	-34.606	1
chrec2:231066	192.2	14.6	1.225	-32.442	1
chrec2:4639924	347.3	34.3	0.847	-32.265	1
chrec2:4097978	60.3	1.5	2.831	-30.056	1
chrec2:4015014	107.3	6.0	1.670	-29.416	1
chrec2:2668479	57.9	1.6	2.705	-28.509	1
chrec2:1264566	70.9	2.7	2.229	-27.013	1
chrec2:3422553	66.1	2.6	2.197	-24.899	1
chrec2:1898529	145.0	11.6	1.147	-22.232	1
chrec2:3284290	42.9	1.2	2.636	-20.345	1
chrec2:379936	62.8	3.0	1.920	-20.259	1
chrec2:1747921	93.0	6.7	1.308	-17.376	1
chrec2:2241556	40.9	1.4	2.362	-17.191	1
chrec2:2770533	106.5	8.4	1.176	-16.429	1
chrec2:1670308	51.2	2.5	1.851	-14.876	1
chrec2:1914337	335.3	41.0	0.538	-14.661	1
chrec2:2011946	38.5	1.6	2.141	-14.329	1
chrec2:2910146	63.3	3.9	1.511	-14.049	1
chrec2:2070996	44.7	2.0	2.013	-13.917	1
chrec2:1260288	61.1	3.8	1.525	-13.875	1
chrec2:3696593	35.6	1.4	2.209	-13.674	1
chrec2:4545913	91.3	7.3	1.153	-13.669	1
chrec2:2660816	215.0	24.1	0.662	-13.517	1
chrec2:4217728	63.8	4.8	1.247	-11.358	1
chrec2:1280896	41.0	2.3	1.680	-10.972	1
chrec2:3402418	37.7	1.8	1.915	-10.648	1
chrec2:3985108	42.7	2.3	1.707	-10.590	1
chrec2:2293753	66.9	6.1	0.969	-7.522	1
chrec2:3934410	29.3	1.7	1.620	-6.779	1
chrec2:4353707	72.9	7.1	0.861	-6.367	1
chrec2:3401594	31.4	2.3	1.286	-5.848	1
chrec2:4366113	29.0	2.1	1.299	-5.066	1
chrec2:1612436	58.8	6.0	0.796	-4.976	1
chrec2:4040722	87.1	10.0	0.630	-4.684	1
chrec2:3080307	48.1	4.7	0.858	-4.301	1
chrec2:451032	96.8	11.9	0.534	-4.122	1
chrec2:433745	53.3	5.5	0.776	-3.798	1
chrec2:2377802	28.2	2.5	1.016	-3.716	1
chrec2:2967579	61.8	7.2	0.615	-3.120	1
chrec2:3667630	33.4	3.5	0.769	-2.482	1
chrec2:570733	40.0	4.4	0.684	-2.393	1
chrec2:1770810	31.9	3.3	0.796	-2.238	1
chrec2:2540893	75.0	9.7	0.453	-2.203	1
chrec2:57339	68.9	8.8	0.472	-2.170	1
chrec2:2273363	31.0	3.6	0.635	-1.827	1
chrec2:4530788	71.4	9.3	0.442	-1.840	1
chrec2:3746480	34.1	3.8	0.685	-1.700	1
chrec2:3518142	33.9	3.9	0.612	-1.324	1
chrec2:706411	103.9	15.0	0.295	-1.297	1
chrec2:4225142	30.6	3.4	0.673	-1.221	1
chrec2:1192067	29.5	3.5	0.595	-1.235	1
chrec2:3721528	79.4	11.3	0.314	-1.191	1
chrec2:3801041	38.9	5.0	0.461	-0.824	1
chrec2:3084533	40.6	5.2	0.486	-0.802	1
chrec2:3509807	515.2	85.6	0.096	-0.605	1
chrec2:4488959	38.7	5.0	0.458	-0.610	1
chrec2:997972	41.6	5.7	0.377	-0.283	1
chrec2:3944282	30.9	4.3	0.363	-0.018	1
chrec2:4009638	48.2	7.1	0.261	0.000	1
chrec2:58863	33.6	5.0	0.267	0.000	1
chrec2:3982701	40.0	6.1	0.214	0.000	1
chrec2:4260916	61.0	9.9	0.129	0.000	1
chrec2:4042621	239.9	41.2	0.049	0.000	1
chrec2:4207918	30.9	4.8	0.179	0.000	1
chrec2:4123129	30.7	4.8	0.171	0.000	1
chrec2:3975223	73.6	12.4	0.074	0.000	1
chrec2:2481993	36.3	6.4	0.022	0.000	1
chrec2:3965883	45.4	7.9	0.027	0.000	1
chrec2:3049518	34.1	5.9	0.027	0.000	1
chrec2:4397173	1990.2	1515.2	-2.100	0.000	1
chrec2:4610940	1957.8	1192.1	-1.777	0.000	1
chrec2:3460994	1801.1	920.9	-1.525	0.000	1
chrec2:2816865	1728.8	888.7	-1.533	0.000	1
chrec2:1994129	1689.7	838.7	-1.483	0.000	1
chrec2:2526521	1671.9	1033.1	-1.799	0.000	1
chrec2:2729921	1534.1	1427.2	-2.389	0.000	1
chrec2:3654115	1343.1	938.2	-1.976	0.000	1
chrec2:4212011	1262.3	1500.1	-2.742	0.000	1
chrec2:2523544	1210.2	522.6	-1.282	0.000	1
chrec2:697238	1208.9	433.7	-1.014	0.000	1
chrec2:3654056	1204.3	755.4	-1.820	0.000	1
chrec2:3322166	1075.3	714.2	-1.903	0.000	1
chrec2:3600892	1013.8	1521.0	-3.078	0.000	1
chrec2:2526640	1005.7	549.3	-1.621	0.000	1
chrec2:3318110	990.9	604.1	-1.779	0.000	1
chrec2:3469678	990.7	1464.5	-3.057	0.000	1
chrec2:224359	953.5	1295.0	-2.935	0.000	1
chrec2:2946230	898.3	485.4	-1.605	0.000	1
chrec2:3694399	873.6	1115.9	-2.846	0.000	1
chrec2:3428253	853.5	1398.6	-3.206	0.000	1
chrec2:3694478	838.8	1192.0	-3.000	0.000	1
chrec2:3599229	830.5	1365.0	-3.210	0.000	1
chrec2:781448	813.9	344.9	-1.255	0.000	1
chrec2:3654094	810.8	554.4	-1.945	0.000	1
chrec2:3469598	802.1	965.2	-2.760	0.000	1
chrec2:2923000	794.5	237.8	-0.753	0.000	1
chrec2:1289014	747.1	326.9	-1.301	0.000	1
chrec2:237006	744.6	648.0	-2.293	0.000	1
chrec2:3920446	735.2	430.6	-1.721	0.000	1
chrec2:3690566	735.2	841.7	-2.688	0.000	1
chrec2:4213508	723.3	1177.7	-3.196	0.000	1
chrec2:1032093	721.8	312.3	-1.284	0.000	1
chrec2:224441	714.8	979.4	-2.947	0.000	1
chrec2:2728709	688.3	847.6	-2.794	0.000	1
chrec2:3428173	687.3	966.7	-2.985	0.000	1
chrec2:3692691	664.5	1110.1	-3.233	0.000	1
chrec2:2946148	659.0	366.0	-1.645	0.000	1
chrec2:3600811	635.6	913.6	-3.017	0.000	1
chrec2:3425897	622.2	827.7	-2.905	0.000	1
chrec2:781530	620.4	263.4	-1.257	0.000	1
chrec2:2725588	615.5	722.3	-2.724	0.000	1
chrec2:3424136	614.6	730.6	-2.742	0.000	1
chrec2:3690486	614.6	760.6	-2.801	0.000	1
chrec2:3467859	612.1	972.9	-3.162	0.000	1
chrec2:3828752	608.5	327.3	-1.598	0.000	1
chrec2:3599149	607.9	979.4	-3.181	0.000	1
chrec2:3424216	605.1	721.9	-2.748	0.000	1
chrec2:3596881	602.4	724.3	-2.759	0.000	1
chrec2:3308229	598.1	216.6	-1.027	0.000	1
chrec2:228253	596.4	755.7	-2.835	0.000	1
chrec2:3465760	590.7	733.3	-2.805	0.000	1
chrec2:2728791	587.6	757.6	-2.860	0.000	1
chrec2:3109092	582.8	253.6	-1.293	0.000	1
chrec2:3467942	582.6	969.4	-3.228	0.000	1
chrec2:4610810	576.4	367.8	-1.845	0.000	1
chrec2:2816785	572.0	318.0	-1.646	0.000	1
chrec2:226323	567.8	862.6	-3.097	0.000	1
chrec2:1748248	566.9	228.8	-1.184	0.000	1
chrec2:4212091	560.4	710.2	-2.835	0.000	1
chrec2:2754439	555.5	241.8	-1.293	0.000	1
chrec2:226404	553.5	827.7	-3.074	0.000	1
chrec2:3756040	546.1	349.1	-1.847	0.000	1
chrec2:1994107	546.1	281.4	-1.537	0.000	1
chrec2:2046752	538.8	341.1	-1.834	0.000	1
chrec2:3465841	533.0	681.2	-2.847	0.000	1
chrec2:3596966	531.0	658.2	-2.803	0.000	1
chrec2:3931775	530.0	327.3	-1.798	0.000	1
chrec2:2727211	529.5	754.6	-3.004	0.000	1
chrec2:4214755	524.2	614.4	-2.722	0.000	1
chrec2:2725668	523.6	636.2	-2.774	0.000	1
chrec2:4214674	512.3	602.4	-2.727	0.000	1
chrec2:3427154	511.3	627.1	-2.788	0.000	1
chrec2:4187077	505.4	441.5	-2.298	0.000	1
chrec2:228173	501.0	649.4	-2.867	0.000	1
chrec2:3692611	498.8	798.1	-3.171	0.000	1
chrec2:4216061	477.9	619.1	-2.867	0.000	1
chrec2:4216141	476.7	609.0	-2.846	0.000	1
chrec2:1748208	474.5	203.4	-1.271	0.000	1
chrec2:2727293	472.0	724.7	-3.112	0.000	1
chrec2:2941445	470.7	281.4	-1.751	0.000	1
chrec2:262132	467.6	499.7	-2.589	0.000	1
chrec2:3425979	467.0	716.3	-3.110	0.000	1
chrec2:3427074	466.0	559.7	-2.758	0.000	1
chrec2:3456689	455.3	267.3	-1.725	0.000	1
chrec2:3333054	443.6	296.7	-1.913	0.000	1
chrec2:3598110	437.3	584.9	-2.913	0.000	1
chrec2:259306	428.0	292.8	-1.946	0.000	1
chrec2:697148	426.8	159.1	-1.069	0.000	1
chrec2:3586692	423.4	229.9	-1.612	0.000	1
chrec2:4213591	419.1	678.9	-3.189	0.000	1
chrec2:2060173	418.3	259.3	-1.804	0.000	1
chrec2:4501150	405.5	192.1	-1.415	0.000	1
chrec2:2062068	388.8	309.6	-2.164	0.000	1
chrec2:926388	381.4	256.1	-1.918	0.000	1
chrec2:4192438	380.3	235.9	-1.804	0.000	1
chrec2:4335320	376.1	177.0	-1.406	0.000	1
chrec2:3322125	374.7	230.1	-1.790	0.000	1
chrec2:4197248	372.7	187.8	-1.505	0.000	1
chrec2:3725911	368.9	259.7	-1.987	0.000	1
chrec2:3670390	362.2	172.2	-1.420	0.000	1
chrec2:3209406	360.5	222.2	-1.795	0.000	1
chrec2:1302610	358.0	157.8	-1.311	0.000	1
chrec2:2997646	353.3	181.1	-1.529	0.000	1
chrec2:3725993	341.7	241.3	-1.991	0.000	1
chrec2:4367241	341.1	148.3	-1.292	0.000	1
chrec2:21125	325.1	320.6	-2.473	0.000	1
chrec2:3459865	320.1	260.2	-2.194	0.000	1
chrec2:3054781	316.3	131.7	-1.229	0.000	1
chrec2:2064462	315.6	228.4	-2.026	0.000	1
chrec2:3378549	300.9	140.0	-1.390	0.000	1
chrec2:4367283	300.2	141.4	-1.407	0.000	1
chrec2:4198780	299.1	205.0	-1.949	0.000	1
chrec2:4472197	298.3	187.8	-1.826	0.000	1
chrec2:3270251	269.8	84.8	-0.823	0.000	1
chrec2:1802399	254.4	145.4	-1.686	0.000	1
chrec2:4199703	253.4	154.6	-1.780	0.000	1
chrec2:4170024	251.7	197.4	-2.143	0.000	1
chrec2:3458322	248.4	180.6	-2.033	0.000	1
chrec2:3714367	247.0	85.0	-0.955	0.000	1
chrec2:3650099	240.9	100.9	-1.237	0.000	1
chrec2:475740	238.2	93.9	-1.151	0.000	1
chrec2:1148551	237.7	98.6	-1.223	0.000	1
chrec2:1051055	234.4	98.9	-1.248	0.000	1
chrec2:3829233	232.9	45.1	-0.126	0.000	1
chrec2:3183239	231.5	65.7	-0.676	0.000	1
chrec2:1097863	226.0	136.0	-1.760	0.000	1
chrec2:1020508	209.5	85.7	-1.204	0.000	1
chrec2:3691622	209.1	271.1	-2.868	0.000	1
chrec2:4039577	205.1	155.0	-2.089	0.000	1
chrec2:4429719	202.0	115.8	-1.691	0.000	1
chrec2:3466847	199.7	258.1	-2.863	0.000	1
chrec2:3686316	192.4	143.5	-2.070	0.000	1
chrec2:3237118	190.3	140.6	-2.057	0.000	1
chrec2:233788	189.5	70.7	-1.071	0.000	1
chrec2:4194025	182.8	116.8	-1.847	0.000	1
