### ChExMix replication codes
# Codes:
#     X : Event was not called in this condition
#     S : This condition only contains a single replicate
#     D : Called in one replicate or condition as a whole, significant difference detected across some replicates (binomial P-value, same threshold as --q)
#     1 : Called in one replicate or condition as a whole, NO significant difference detected across any replicates
#    >1 : Number of replicates in which binding event is called significant
#
#BindingEvent	SAMPLE
chrec2:3410059	S
chrec2:3965721	S
chrec2:3668865	S
chrec2:4429586	S
chrec2:3146421	S
chrec2:3883851	S
chrec2:2182068	S
chrec2:2957702	S
chrec2:2967984	S
chrec2:4042786	S
chrec2:4031338	S
chrec2:4165659	S
chrec2:2410241	S
chrec2:2997916	S
chrec2:611839	S
chrec2:3535199	S
chrec2:3171185	S
chrec2:3535255	S
chrec2:418508	S
chrec2:4429531	S
chrec2:2462393	S
chrec2:2229028	S
chrec2:4532335	S
chrec2:3238203	S
chrec2:3962598	S
chrec2:4576747	S
chrec2:3718101	S
chrec2:3832131	S
chrec2:4146572	S
chrec2:3562999	S
chrec2:4274247	S
chrec2:4297770	S
chrec2:2483249	S
chrec2:4273755	S
chrec2:3217935	S
chrec2:4508294	S
chrec2:3436764	S
chrec2:2349145	S
chrec2:663171	S
chrec2:2196368	S
chrec2:3765102	S
chrec2:878617	S
chrec2:4291079	S
chrec2:2538770	S
chrec2:1744648	S
chrec2:4372841	S
chrec2:457923	S
chrec2:3822754	S
chrec2:1997859	S
chrec2:4281810	S
chrec2:3967997	S
chrec2:3404627	S
chrec2:2023304	S
chrec2:4281705	S
chrec2:3932361	S
chrec2:4005184	S
chrec2:1928429	S
chrec2:3068610	S
chrec2:4642674	S
chrec2:2182013	S
chrec2:3562948	S
chrec2:4409275	S
chrec2:2875991	S
chrec2:4042575	S
chrec2:4371875	S
chrec2:2968296	S
chrec2:1990469	S
chrec2:4595987	S
chrec2:4355142	S
chrec2:2273042	S
chrec2:2418762	S
chrec2:3913635	S
chrec2:3217997	S
chrec2:4375118	S
chrec2:3332002	S
chrec2:2272655	S
chrec2:4026563	S
chrec2:3491060	S
chrec2:4014684	S
chrec2:2797649	S
chrec2:4540269	S
chrec2:2422606	S
chrec2:3146456	S
chrec2:89487	S
chrec2:4483328	S
chrec2:4585646	S
chrec2:3797002	S
chrec2:3109337	S
chrec2:2874053	S
chrec2:232503	S
chrec2:2813506	S
chrec2:196945	S
chrec2:1766893	S
chrec2:4028961	S
chrec2:4348777	S
chrec2:1394676	S
chrec2:3618165	S
chrec2:1620727	S
chrec2:1052553	S
chrec2:4446050	S
chrec2:3409976	S
chrec2:1603007	S
chrec2:4117579	S
chrec2:1698878	S
chrec2:176575	S
chrec2:3698477	S
chrec2:3868353	S
chrec2:2489701	S
chrec2:167356	S
chrec2:3473032	S
chrec2:3983277	S
chrec2:2536897	S
chrec2:4100351	S
chrec2:2319114	S
chrec2:1016087	S
chrec2:2461413	S
chrec2:1006263	S
chrec2:1167447	S
chrec2:1493288	S
chrec2:4222513	S
chrec2:2586454	S
chrec2:1714422	S
chrec2:121747	S
chrec2:2418884	S
chrec2:3655939	S
chrec2:4454606	S
chrec2:4536369	S
chrec2:579595	S
chrec2:2410204	S
chrec2:3366780	S
chrec2:643365	S
chrec2:3464543	S
chrec2:2001062	S
chrec2:2742165	S
chrec2:4279491	S
chrec2:4313045	S
chrec2:3111883	S
chrec2:4243840	S
chrec2:3121438	S
chrec2:562488	S
chrec2:3161455	S
chrec2:4201713	S
chrec2:2978868	S
chrec2:3626539	S
chrec2:2044940	S
chrec2:2666791	S
chrec2:2751115	S
chrec2:3822452	S
chrec2:966909	S
chrec2:3535181	S
chrec2:813390	S
chrec2:2539638	S
chrec2:3529270	S
chrec2:1346575	S
chrec2:1311880	S
chrec2:3806935	S
chrec2:186433	S
chrec2:2481901	S
chrec2:4218897	S
chrec2:4371572	S
chrec2:4387229	S
chrec2:3045054	S
chrec2:661133	S
chrec2:3538980	S
chrec2:813423	S
chrec2:1961743	S
chrec2:1273542	S
chrec2:3698839	S
chrec2:842572	S
chrec2:4510556	S
chrec2:2888746	S
chrec2:2959104	S
chrec2:2880543	S
chrec2:2669845	S
chrec2:4235122	S
chrec2:922922	S
chrec2:2722180	S
chrec2:3159824	S
chrec2:3639114	S
chrec2:2653552	S
chrec2:418813	S
chrec2:4446753	S
chrec2:2956084	S
chrec2:4132607	S
chrec2:3805180	S
chrec2:3625671	S
chrec2:4184313	S
chrec2:1065593	S
chrec2:4461265	S
chrec2:1638543	S
chrec2:4573441	S
