### ChExMix replication codes
# Codes:
#     X : Event was not called in this condition
#     S : This condition only contains a single replicate
#     D : Called in one replicate or condition as a whole, significant difference detected across some replicates (binomial P-value, same threshold as --q)
#     1 : Called in one replicate or condition as a whole, NO significant difference detected across any replicates
#    >1 : Number of replicates in which binding event is called significant
#
#BindingEvent	SAMPLE
chrec2:4042703	S
chrec2:2776679	S
chrec2:122895	S
chrec2:3268677	S
chrec2:3267057	S
chrec2:3725010	S
chrec2:890277	S
chrec2:4030581	S
chrec2:180400	S
chrec2:3826607	S
chrec2:3249517	S
chrec2:2782146	S
chrec2:3878358	S
chrec2:570740	S
chrec2:2957581	S
chrec2:1988803	S
chrec2:3713917	S
chrec2:3409986	S
chrec2:3041922	S
chrec2:5128	S
chrec2:4016749	S
chrec2:3897809	S
chrec2:2354341	S
chrec2:3614562	S
chrec2:3330362	S
chrec2:4478935	S
chrec2:2481999	S
chrec2:3411442	S
chrec2:2750320	S
chrec2:4317830	S
chrec2:4146515	S
chrec2:3446014	S
chrec2:611944	S
chrec2:3832098	S
chrec2:3804330	S
chrec2:3462509	S
chrec2:3053139	S
chrec2:3648246	S
chrec2:1413651	S
chrec2:2776605	S
chrec2:3255335	S
chrec2:3920883	S
chrec2:1410745	S
chrec2:3976188	S
chrec2:3257991	S
chrec2:3686261	S
chrec2:2785395	S
chrec2:4149201	S
chrec2:3934273	S
chrec2:3671125	S
chrec2:3178019	S
chrec2:4261180	S
chrec2:4252422	S
chrec2:487009	S
chrec2:4013525	S
chrec2:3975213	S
chrec2:3373688	S
chrec2:2599779	S
chrec2:3784887	S
chrec2:3639554	S
chrec2:3786792	S
chrec2:531471	S
chrec2:3570327	S
chrec2:2257180	S
chrec2:3918608	S
chrec2:4098426	S
chrec2:2626985	S
chrec2:703740	S
chrec2:3042781	S
chrec2:1217245	S
chrec2:3686481	S
chrec2:246763	S
chrec2:4353697	S
chrec2:3149301	S
chrec2:1827541	S
chrec2:1167597	S
chrec2:3773788	S
chrec2:4077391	S
chrec2:40402	S
chrec2:2964712	S
chrec2:2068252	S
chrec2:122992	S
chrec2:4046836	S
chrec2:2903176	S
chrec2:3934405	S
chrec2:3042519	S
chrec2:1895740	S
chrec2:3099385	S
chrec2:2653675	S
chrec2:3367973	S
chrec2:749280	S
chrec2:3583165	S
chrec2:4225143	S
chrec2:4103709	S
chrec2:754883	S
chrec2:3919209	S
chrec2:3440240	S
chrec2:3771397	S
chrec2:2239913	S
chrec2:4380114	S
chrec2:2981019	S
chrec2:4047801	S
chrec2:1513194	S
chrec2:479280	S
chrec2:4291146	S
chrec2:2908496	S
chrec2:3786086	S
chrec2:3288909	S
chrec2:37693	S
chrec2:1906969	S
chrec2:645837	S
chrec2:3982700	S
chrec2:2355749	S
chrec2:3136997	S
chrec2:3657437	S
chrec2:515581	S
chrec2:4201155	S
chrec2:256359	S
chrec2:3149415	S
chrec2:3556613	S
chrec2:3506675	S
chrec2:2063939	S
chrec2:3422327	S
chrec2:1891659	S
chrec2:2622287	S
chrec2:2831051	S
chrec2:3071567	S
chrec2:3010616	S
chrec2:3570043	S
chrec2:4640137	S
chrec2:3538844	S
chrec2:2414706	S
chrec2:1532789	S
chrec2:3117993	S
chrec2:3250933	S
chrec2:177163	S
chrec2:4015550	S
chrec2:3657951	S
chrec2:1577833	S
chrec2:2510003	S
chrec2:2802769	S
chrec2:3280563	S
chrec2:4640206	S
chrec2:3927780	S
chrec2:4446122	S
chrec2:4645430	S
chrec2:2877223	S
chrec2:3764969	S
chrec2:3741477	S
chrec2:3793381	S
chrec2:3061876	S
chrec2:3619202	S
chrec2:510755	S
chrec2:127635	S
chrec2:960643	S
chrec2:2116867	S
chrec2:4498248	S
chrec2:4354557	S
chrec2:1658605	S
chrec2:3676903	S
chrec2:2770543	S
chrec2:4108413	S
chrec2:2866182	S
chrec2:2987166	S
chrec2:4615738	S
chrec2:1581190	S
chrec2:3736881	S
chrec2:2100577	S
chrec2:2523250	S
chrec2:4547332	S
chrec2:1969075	S
chrec2:2946633	S
chrec2:3976693	S
chrec2:3086802	S
chrec2:3256719	S
chrec2:4596181	S
chrec2:2877145	S
chrec2:1764339	S
chrec2:926072	S
chrec2:786091	S
chrec2:189242	S
chrec2:3617959	S
chrec2:661901	S
chrec2:585508	S
chrec2:3590095	S
chrec2:3068705	S
chrec2:2849162	S
chrec2:1970203	S
chrec2:2791354	S
chrec2:4140685	S
chrec2:252079	S
chrec2:1259417	S
chrec2:4041968	S
chrec2:3770437	S
chrec2:3794141	S
chrec2:3352534	S
chrec2:3050649	S
chrec2:138751	S
chrec2:4632880	S
chrec2:1938371	S
chrec2:1534016	S
chrec2:3253545	S
chrec2:3536016	S
chrec2:3482776	S
chrec2:4533603	S
chrec2:2598961	S
chrec2:3492532	S
chrec2:4328925	S
chrec2:2138229	S
chrec2:2320267	S
chrec2:942838	S
chrec2:976720	S
chrec2:47148	S
chrec2:3593511	S
chrec2:3893075	S
chrec2:1639894	S
chrec2:3020051	S
chrec2:246160	S
chrec2:2579320	S
chrec2:1436625	S
chrec2:3589926	S
chrec2:2788496	S
chrec2:4521488	S
chrec2:4382851	S
chrec2:3650465	S
chrec2:4525093	S
chrec2:737734	S
chrec2:3971103	S
chrec2:2355337	S
chrec2:2479872	S
chrec2:4270521	S
chrec2:3701597	S
chrec2:4009484	S
chrec2:1793659	S
chrec2:3866131	S
chrec2:933320	S
chrec2:2244648	S
chrec2:28847	S
chrec2:3825940	S
chrec2:3791840	S
chrec2:3067448	S
chrec2:708507	S
chrec2:2913500	S
chrec2:2840187	S
chrec2:4474394	S
chrec2:715736	S
chrec2:3721427	S
chrec2:2544026	S
chrec2:1492245	S
chrec2:4249585	S
chrec2:4574666	S
chrec2:58873	S
chrec2:60851	S
chrec2:3179258	S
chrec2:593733	S
chrec2:2530291	S
chrec2:2937370	S
chrec2:3133392	S
chrec2:389280	S
chrec2:4265224	S
chrec2:598120	S
chrec2:928073	S
chrec2:4266642	S
chrec2:2732951	S
chrec2:3846159	S
chrec2:2328790	S
chrec2:1810587	S
chrec2:1909636	S
chrec2:3874422	S
chrec2:1342418	S
chrec2:2686255	S
chrec2:3956061	S
chrec2:916737	S
chrec2:2348079	S
chrec2:2977262	S
chrec2:17664	S
chrec2:3971128	S
chrec2:2945315	S
chrec2:553525	S
chrec2:4079050	S
chrec2:4048725	S
chrec2:2121220	S
chrec2:2863419	S
chrec2:767068	S
chrec2:3287933	S
chrec2:722169	S
chrec2:2169353	S
