### ChExMix replication codes
# Codes:
#     X : Event was not called in this condition
#     S : This condition only contains a single replicate
#     D : Called in one replicate or condition as a whole, significant difference detected across some replicates (binomial P-value, same threshold as --q)
#     1 : Called in one replicate or condition as a whole, NO significant difference detected across any replicates
#    >1 : Number of replicates in which binding event is called significant
#
#BindingEvent	SAMPLE
chrec2:1864332	S
chrec2:693888	S
chrec2:12050	S
chrec2:4375296	S
chrec2:3772899	S
chrec2:3327585	S
chrec2:458038	S
chrec2:494301	S
chrec2:4373284	S
chrec2:2749401	S
chrec2:663126	S
chrec2:4111306	S
chrec2:1029162	S
chrec2:1122605	S
chrec2:2732859	S
chrec2:3995179	S
chrec2:3514333	S
chrec2:4404080	S
chrec2:455831	S
chrec2:1385784	S
chrec2:1341854	S
chrec2:517528	S
chrec2:922335	S
chrec2:63586	S
chrec2:3872225	S
chrec2:4225144	S
chrec2:3873613	S
chrec2:4353697	S
chrec2:3078225	S
chrec2:3870951	S
chrec2:4042623	S
chrec2:3847000	S
chrec2:4165616	S
chrec2:1670302	S
chrec2:4255089	S
chrec2:1914330	S
chrec2:1906977	S
chrec2:4094958	S
chrec2:3117991	S
chrec2:3840674	S
chrec2:3268670	S
chrec2:3572582	S
chrec2:3897812	S
chrec2:3971113	S
chrec2:2926577	S
chrec2:4435768	S
chrec2:3835671	S
chrec2:3986752	S
chrec2:3989039	S
chrec2:3841570	S
chrec2:3486269	S
chrec2:3713921	S
chrec2:3836355	S
chrec2:1445222	S
chrec2:3982658	S
chrec2:3909157	S
chrec2:2993668	S
chrec2:4510188	S
chrec2:3874313	S
chrec2:3842557	S
chrec2:4006593	S
chrec2:2759053	S
chrec2:3188729	S
chrec2:2991901	S
chrec2:3730060	S
chrec2:4508985	S
chrec2:4006139	S
chrec2:2780923	S
chrec2:3835074	S
chrec2:3558104	S
chrec2:2831043	S
chrec2:3557735	S
chrec2:2986716	S
chrec2:252255	S
chrec2:3751999	S
chrec2:3734292	S
chrec2:2770555	S
chrec2:4055988	S
chrec2:4058110	S
chrec2:3842974	S
chrec2:3049533	S
chrec2:4356986	S
chrec2:4007044	S
chrec2:3842065	S
chrec2:2877154	S
chrec2:3832092	S
chrec2:3839419	S
chrec2:4547577	S
chrec2:4545582	S
chrec2:661899	S
chrec2:3211345	S
chrec2:3838768	S
chrec2:997992	S
chrec2:2986251	S
chrec2:4015023	S
chrec2:231075	S
chrec2:3838203	S
chrec2:570717	S
chrec2:4547345	S
chrec2:3912627	S
chrec2:3592425	S
chrec2:2412812	S
chrec2:3748857	S
chrec2:4009050	S
chrec2:3557288	S
chrec2:1175567	S
chrec2:4217741	S
chrec2:3836805	S
chrec2:3188962	S
chrec2:3873933	S
chrec2:4250370	S
chrec2:2307034	S
chrec2:4596177	S
chrec2:3919891	S
chrec2:2849163	S
chrec2:4017298	S
chrec2:4225424	S
chrec2:58880	S
chrec2:2170174	S
chrec2:3320907	S
chrec2:4008445	S
chrec2:4225766	S
chrec2:3965867	S
chrec2:3981978	S
chrec2:22226	S
chrec2:4442842	S
chrec2:4254202	S
chrec2:4016512	S
chrec2:3575361	S
chrec2:1300935	S
chrec2:4007325	S
chrec2:2589723	S
chrec2:3574176	S
chrec2:2890722	S
chrec2:531524	S
chrec2:3567401	S
chrec2:1909641	S
chrec2:3838454	S
chrec2:3735686	S
chrec2:4279797	S
chrec2:3839731	S
chrec2:3556829	S
chrec2:2482007	S
chrec2:4270523	S
chrec2:4140670	S
chrec2:4386953	S
chrec2:180395	S
chrec2:4016197	S
chrec2:3650489	S
chrec2:3572080	S
chrec2:3462526	S
chrec2:3909480	S
chrec2:2903167	S
chrec2:2489143	S
chrec2:4170618	S
chrec2:2802760	S
chrec2:3918279	S
chrec2:3976187	S
chrec2:4266362	S
chrec2:3730603	S
chrec2:3267430	S
chrec2:3190610	S
chrec2:4005436	S
chrec2:4446126	S
chrec2:4577033	S
chrec2:3934429	S
chrec2:3243874	S
chrec2:3811615	S
chrec2:1332693	S
chrec2:3791842	S
chrec2:4640027	S
chrec2:3571950	S
chrec2:3556614	S
chrec2:3256861	S
chrec2:1714004	S
chrec2:3975730	S
chrec2:2776683	S
chrec2:755175	S
chrec2:3984236	S
chrec2:3590089	S
chrec2:3384449	S
chrec2:3527912	S
chrec2:528224	S
chrec2:1714256	S
chrec2:786066	S
chrec2:706422	S
chrec2:2797744	S
chrec2:4099070	S
chrec2:3868259	S
chrec2:4443204	S
chrec2:3390413	S
chrec2:3243450	S
chrec2:3494340	S
chrec2:4293466	S
chrec2:3944031	S
chrec2:3057150	S
chrec2:3759598	S
chrec2:1092817	S
chrec2:3474209	S
chrec2:3786554	S
chrec2:2549050	S
chrec2:3202424	S
chrec2:3976670	S
chrec2:2316341	S
chrec2:3818803	S
chrec2:3903163	S
chrec2:4078546	S
chrec2:111525	S
chrec2:3974680	S
chrec2:3508680	S
chrec2:3932541	S
chrec2:4208857	S
chrec2:3478303	S
chrec2:1909220	S
chrec2:3385347	S
chrec2:4040654	S
chrec2:451026	S
chrec2:4615908	S
chrec2:2803425	S
chrec2:138774	S
chrec2:4036108	S
chrec2:4610427	S
chrec2:3640996	S
chrec2:1994119	S
chrec2:3654114	S
chrec2:4211522	S
chrec2:4610917	S
chrec2:4397186	S
chrec2:3461016	S
chrec2:3600878	S
chrec2:2526595	S
chrec2:3469753	S
chrec2:3694641	S
chrec2:3322192	S
chrec2:3428266	S
chrec2:224311	S
chrec2:2816816	S
chrec2:3920415	S
chrec2:697230	S
chrec2:2526533	S
chrec2:3318124	S
chrec2:224391	S
chrec2:4213318	S
chrec2:3690541	S
chrec2:3599509	S
chrec2:2729448	S
chrec2:2523540	S
chrec2:2923002	S
chrec2:3469673	S
chrec2:3694561	S
chrec2:3428186	S
chrec2:3426568	S
chrec2:3600798	S
chrec2:3424191	S
chrec2:228254	S
chrec2:3426486	S
chrec2:4214411	S
chrec2:226299	S
chrec2:2729528	S
chrec2:226379	S
chrec2:3467524	S
chrec2:2727199	S
chrec2:3465761	S
chrec2:1748203	S
chrec2:4214492	S
chrec2:2725536	S
chrec2:3596941	S
chrec2:3692191	S
chrec2:3465841	S
chrec2:1032043	S
chrec2:3424111	S
chrec2:4211368	S
chrec2:2725617	S
chrec2:3598479	S
chrec2:3596861	S
chrec2:2816736	S
chrec2:3693365	S
chrec2:3467604	S
chrec2:2946173	S
chrec2:3425299	S
chrec2:2946255	S
chrec2:3690460	S
chrec2:4216153	S
chrec2:3692111	S
chrec2:781460	S
chrec2:2728392	S
chrec2:4367272	S
chrec2:236962	S
chrec2:3828785	S
chrec2:1289003	S
chrec2:3468624	S
chrec2:228172	S
chrec2:3598399	S
chrec2:2727279	S
chrec2:3109084	S
chrec2:3693285	S
chrec2:3599591	S
chrec2:3468704	S
chrec2:3586707	S
chrec2:4216073	S
chrec2:3654093	S
chrec2:3931754	S
chrec2:2046744	S
chrec2:3308291	S
chrec2:3654057	S
chrec2:3920323	S
chrec2:2060172	S
chrec2:21054	S
chrec2:2728311	S
chrec2:2061985	S
chrec2:3333128	S
chrec2:781540	S
chrec2:4192157	S
chrec2:2754413	S
chrec2:3725885	S
chrec2:4501074	S
chrec2:4198161	S
