### ChExMix output
#Replicate	ParentCond	Name	Index	SigCount	CtrlCount	CtrlScaling	SignalFraction
#Replicate	SAMPLE	SAMPLE:1	0	4778426.0	5052701.0	0.993	0.672
#
#Point	SAMPLE:1_Sig	SAMPLE:1_Ctrl	SAMPLE:1_log2Fold	SAMPLE:1_log2Q
chrec2:4042703	9243.9	738.2	3.657	-Infinity
chrec2:2776679	8458.7	146.2	5.864	-Infinity
chrec2:122895	7531.8	990.7	2.937	-Infinity
chrec2:3268677	7494.8	77.5	6.606	-Infinity
chrec2:3267057	7469.9	92.7	6.343	-Infinity
chrec2:3725010	7132.7	2072.2	1.794	-Infinity
chrec2:890277	6802.3	220.8	4.956	-Infinity
chrec2:4030581	6356.1	446.0	3.843	-Infinity
chrec2:180400	6237.3	168.0	5.225	-Infinity
chrec2:3826607	6148.1	402.8	3.942	-Infinity
chrec2:3249517	6051.4	220.7	4.787	-Infinity
chrec2:2782146	6041.2	99.1	5.940	-Infinity
chrec2:3878358	6007.9	204.0	4.891	-Infinity
chrec2:570740	6003.2	178.2	5.085	-Infinity
chrec2:2957581	5954.2	208.1	4.849	-Infinity
chrec2:1988803	5943.2	297.2	4.332	-Infinity
chrec2:3713917	5841.7	281.5	4.386	-Infinity
chrec2:3409986	5815.5	795.6	2.880	-Infinity
chrec2:3041922	5793.7	198.5	4.878	-Infinity
chrec2:5128	5764.2	169.4	5.099	-Infinity
chrec2:4016749	5761.4	121.7	5.575	-Infinity
chrec2:3897809	5678.9	193.0	4.889	-Infinity
chrec2:2354341	5637.3	167.7	5.082	-Infinity
chrec2:3614562	5601.0	511.6	3.463	-Infinity
chrec2:3330362	5577.6	553.4	3.344	-Infinity
chrec2:4478935	5468.9	266.9	4.367	-Infinity
chrec2:2481999	5380.1	447.1	3.599	-Infinity
chrec2:3411442	5302.8	638.9	3.063	-Infinity
chrec2:2750320	5301.5	149.1	5.163	-Infinity
chrec2:4317830	5256.6	85.9	5.945	-Infinity
chrec2:4146515	5251.7	193.5	4.773	-Infinity
chrec2:3446014	5173.4	303.9	4.100	-Infinity
chrec2:611944	5162.0	142.3	5.192	-Infinity
chrec2:3832098	5145.9	600.1	3.111	-Infinity
chrec2:3804330	5103.6	725.9	2.824	-Infinity
chrec2:3462509	5090.0	244.2	4.392	-Infinity
chrec2:3053139	5033.2	267.8	4.243	-Infinity
chrec2:3648246	5027.5	258.9	4.290	-Infinity
chrec2:1413651	5003.0	93.5	5.753	-Infinity
chrec2:2776605	4944.9	95.4	5.706	-Infinity
chrec2:3255335	4907.9	204.6	4.595	-Infinity
chrec2:3920883	4906.9	230.7	4.421	-Infinity
chrec2:1410745	4891.0	115.0	5.421	-Infinity
chrec2:3976188	4866.9	348.4	3.815	-Infinity
chrec2:3257991	4844.7	139.4	5.130	-Infinity
chrec2:3686261	4840.3	866.8	2.492	-Infinity
chrec2:2785395	4792.3	70.7	6.094	-Infinity
chrec2:4149201	4769.7	248.4	4.273	-Infinity
chrec2:3934273	4708.7	177.8	4.738	-Infinity
chrec2:3671125	4667.5	684.3	2.780	-Infinity
chrec2:3178019	4643.9	440.6	3.408	-Infinity
chrec2:4261180	4643.0	452.9	3.368	-Infinity
chrec2:4252422	4627.8	141.7	5.040	-Infinity
chrec2:487009	4594.4	186.2	4.636	-Infinity
chrec2:4013525	4580.5	200.2	4.527	-Infinity
chrec2:3975213	4562.5	636.6	2.852	-Infinity
chrec2:3373688	4513.2	358.3	3.665	-Infinity
chrec2:2599779	4487.8	292.4	3.951	-Infinity
chrec2:3784887	4458.3	245.9	4.191	-Infinity
chrec2:3639554	4432.1	267.8	4.059	-Infinity
chrec2:3786792	4378.1	334.3	3.722	-Infinity
chrec2:531471	4358.2	126.9	5.113	-Infinity
chrec2:3570327	4348.8	115.8	5.241	-Infinity
