### ChExMix output
#Condition	Name	Index	TotalSigCount	SigCtrlScaling	SignalFraction
#Condition	SAMPLE	0	3082957.0	1.049	0.144
#Replicate	ParentCond	Name	Index	SigCount	CtrlCount	SigCtrlScaling	SignalFraction
#Replicate	SAMPLE	SAMPLE:1	0	3082957.0	5052701.0	1.0492	0.144
#
#Point	SAMPLE_Sig	SAMPLE_Ctrl	SAMPLE_log2Fold	SAMPLE_log2Q	ActiveConds
chrec2:1864332	7116.1	739.4	3.197	-Infinity	1
chrec2:693888	6548.9	322.2	4.276	-Infinity	1
chrec2:12050	5937.5	296.4	4.255	-Infinity	1
chrec2:4375296	5119.0	409.2	3.576	-Infinity	1
chrec2:3772899	4730.3	428.9	3.394	-Infinity	1
chrec2:3327585	4701.8	1118.7	2.002	-Infinity	1
chrec2:458038	4676.3	463.5	3.265	-Infinity	1
chrec2:494301	3826.3	309.6	3.558	-Infinity	1
chrec2:4373284	3092.7	234.5	3.652	-Infinity	1
chrec2:2749401	2358.3	297.3	2.918	-Infinity	1
chrec2:663126	2324.9	209.5	3.403	-Infinity	1
chrec2:4111306	1828.7	261.3	2.738	-925.674	1
chrec2:1029162	1894.7	330.3	2.451	-847.828	1
chrec2:1122605	1880.9	403.9	2.150	-717.420	1
chrec2:2732859	1654.0	322.6	2.289	-681.478	1
chrec2:3995179	1500.6	309.7	2.207	-592.019	1
chrec2:3514333	1624.6	384.2	2.011	-567.053	1
chrec2:4404080	1098.5	225.6	2.214	-434.772	1
chrec2:455831	1230.6	335.7	1.805	-370.944	1
chrec2:1385784	576.8	63.3	3.119	-332.981	1
chrec2:1341854	795.4	161.3	2.233	-316.575	1
chrec2:517528	455.4	61.4	2.821	-236.575	1
chrec2:922335	391.1	44.5	3.065	-221.731	1
chrec2:63586	491.8	91.0	2.364	-209.978	1
chrec2:3872225	461.4	105.4	2.060	-166.204	1
chrec2:4225144	395.3	89.5	2.074	-143.914	1
chrec2:3873613	304.6	58.1	2.320	-127.437	1
chrec2:4353697	375.5	90.6	1.982	-126.989	1
chrec2:3078225	258.5	45.4	2.440	-114.279	1
chrec2:3870951	290.4	60.2	2.201	-112.123	1
chrec2:4042623	1247.2	680.3	0.805	-106.049	1
chrec2:3847000	579.7	230.0	1.264	-103.299	1
chrec2:4165616	2312.2	1515.6	0.540	-97.016	1
chrec2:1670302	202.4	30.8	2.647	-96.765	1
chrec2:4255089	185.7	26.6	2.733	-93.493	1
chrec2:1914330	346.7	106.2	1.637	-90.935	1
chrec2:1906977	207.2	38.0	2.377	-89.443	1
chrec2:4094958	280.6	75.8	1.819	-85.349	1
chrec2:3117991	174.2	25.9	2.677	-84.129	1
chrec2:3840674	392.8	142.4	1.394	-81.388	1
chrec2:3268670	145.9	17.7	2.976	-79.257	1
chrec2:3572582	285.9	86.3	1.659	-76.384	1
chrec2:3897812	243.9	66.7	1.802	-73.541	1
chrec2:3971113	260.2	76.8	1.691	-71.273	1
chrec2:2926577	283.0	91.1	1.566	-69.618	1
chrec2:4435768	234.7	64.1	1.803	-69.584	1
chrec2:3835671	187.0	41.8	2.092	-68.557	1
chrec2:3986752	144.4	22.0	2.646	-68.185	1
