### ChExMix replication codes
# Codes:
#     X : Event was not called in this condition
#     S : This condition only contains a single replicate
#     D : Called in one replicate or condition as a whole, significant difference detected across some replicates (binomial P-value, same threshold as --q)
#     1 : Called in one replicate or condition as a whole, NO significant difference detected across any replicates
#    >1 : Number of replicates in which binding event is called significant
#
#BindingEvent	SAMPLE
chrec2:3654329	S
chrec2:3695174	S
chrec2:3601334	S
chrec2:3470205	S
chrec2:3920545	S
chrec2:3461308	S
chrec2:3470323	S
chrec2:3601451	S
chrec2:3318234	S
chrec2:4211469	S
chrec2:2729996	S
chrec2:3322451	S
chrec2:3586794	S
chrec2:3377435	S
chrec2:4211361	S
chrec2:3828594	S
chrec2:4429690	S
chrec2:223586	S
chrec2:2730112	S
chrec2:1051139	S
chrec2:4611122	S
chrec2:3695055	S
chrec2:1032146	S
chrec2:3428717	S
chrec2:3458333	S
chrec2:3428826	S
chrec2:4186968	S
chrec2:2273129	S
chrec2:4039404	S
chrec2:2754224	S
chrec2:3931747	S
chrec2:259484	S
chrec2:21215	S
chrec2:223476	S
chrec2:4396982	S
chrec2:697595	S
chrec2:4501088	S
chrec2:3109870	S
chrec2:262043	S
chrec2:2619572	S
chrec2:4367317	S
chrec2:4192188	S
chrec2:4165789	S
chrec2:3333378	S
chrec2:3209295	S
chrec2:2060258	S
chrec2:106500	S
chrec2:3457077	S
chrec2:236903	S
chrec2:2946070	S
chrec2:4397025	S
chrec2:3109012	S
chrec2:4624233	S
chrec2:926436	S
chrec2:4577028	S
chrec2:21127	S
chrec2:2997736	S
chrec2:3378671	S
chrec2:2662051	S
chrec2:2946027	S
chrec2:189706	S
chrec2:2526359	S
chrec2:3756179	S
chrec2:3318159	S
chrec2:2632838	S
chrec2:2536743	S
chrec2:16934	S
chrec2:2632770	S
chrec2:3943685	S
chrec2:3509775	S
chrec2:1620794	S
chrec2:3670536	S
chrec2:2285765	S
chrec2:1302411	S
chrec2:3054615	S
chrec2:2627892	S
chrec2:3920505	S
chrec2:2941378	S
chrec2:2289530	S
chrec2:657655	S
chrec2:3214244	S
chrec2:1802541	S
chrec2:122017	S
chrec2:2809385	S
chrec2:3308568	S
chrec2:3650265	S
chrec2:259401	S
chrec2:3756188	S
chrec2:3237011	S
chrec2:4410706	S
chrec2:3725096	S
chrec2:856350	S
chrec2:528229	S
chrec2:2316411	S
chrec2:4002811	S
chrec2:1759085	S
chrec2:3311648	S
chrec2:4277668	S
chrec2:1748157	S
chrec2:2418698	S
chrec2:3034987	S
chrec2:2344133	S
chrec2:2908378	S
chrec2:4335030	S
chrec2:4477239	S
chrec2:2155763	S
chrec2:2614585	S
chrec2:962127	S
chrec2:2538940	S
chrec2:3209367	S
chrec2:121706	S
chrec2:1624645	S
chrec2:3183378	S
chrec2:3353900	S
chrec2:3458344	S
chrec2:4031305	S
chrec2:3167235	S
chrec2:2471746	S
chrec2:21176	S
chrec2:490522	S
chrec2:1031886	S
chrec2:563915	S
chrec2:4260661	S
chrec2:3686412	S
chrec2:607034	S
chrec2:4154466	S
chrec2:1085301	S
chrec2:1644138	S
chrec2:113386	S
chrec2:3340104	S
chrec2:3550703	S
chrec2:3410095	S
chrec2:706470	S
chrec2:1492482	S
chrec2:3635496	S
chrec2:3475843	S
chrec2:131512	S
chrec2:4373115	S
chrec2:3671040	S
chrec2:3145436	S
chrec2:675273	S
chrec2:3054132	S
chrec2:3350416	S
chrec2:1757176	S
chrec2:433830	S
chrec2:3992373	S
chrec2:2923723	S
chrec2:1301002	S
chrec2:4380297	S
chrec2:3710196	S
chrec2:771695	S
chrec2:3846483	S
chrec2:3164689	S
chrec2:3695089	S
chrec2:1170592	S
chrec2:2115389	S
chrec2:4501056	S
chrec2:3756527	S
chrec2:4059382	S
chrec2:1643444	S
chrec2:1051627	S
chrec2:4409325	S
chrec2:2273236	S
chrec2:453437	S
chrec2:3756445	S
chrec2:1153113	S
chrec2:3915053	S
chrec2:3193538	S
chrec2:2721318	S
chrec2:3756308	S
chrec2:4048028	S
chrec2:1146311	S
chrec2:379143	S
chrec2:989479	S
chrec2:4078451	S
chrec2:2167719	S
chrec2:144	S
chrec2:1215700	S
chrec2:3903158	S
chrec2:4087889	S
chrec2:3085074	S
chrec2:4380329	S
chrec2:660734	S
chrec2:1721519	S
chrec2:1675509	S
chrec2:1804468	S
chrec2:3742844	S
chrec2:400914	S
chrec2:3518268	S
chrec2:1630023	S
chrec2:2283886	S
chrec2:3992136	S
chrec2:3932544	S
chrec2:2598457	S
chrec2:4387101	S
chrec2:3903123	S
chrec2:2735647	S
chrec2:2281746	S
chrec2:3072496	S
chrec2:2489077	S
chrec2:4576822	S
chrec2:1153136	S
chrec2:480115	S
chrec2:3938707	S
chrec2:3176651	S
chrec2:2466434	S
chrec2:222733	S
chrec2:4201726	S
chrec2:1909350	S
chrec2:4297939	S
chrec2:1792986	S
chrec2:3594306	S
chrec2:4250070	S
chrec2:1167551	S
chrec2:2557682	S
chrec2:3152179	S
chrec2:1341885	S
chrec2:2803393	S
chrec2:954929	S
chrec2:4470904	S
chrec2:4272921	S
chrec2:4250358	S
chrec2:4061644	S
chrec2:4538909	S
chrec2:792538	S
chrec2:4087409	S
chrec2:4114167	S
chrec2:1300976	S
chrec2:4250325	S
chrec2:1788886	S
chrec2:1936442	S
chrec2:1727718	S
chrec2:2967679	S
chrec2:1722591	S
chrec2:2735763	S
chrec2:695425	S
chrec2:1864432	S
chrec2:1436312	S
chrec2:2715193	S
chrec2:2526392	S
chrec2:1924761	S
chrec2:3348264	S
chrec2:3863975	S
chrec2:1735857	S
chrec2:3714186	S
chrec2:3578307	S
chrec2:1980128	S
chrec2:1493816	S
chrec2:3627592	S
chrec2:3384451	S
chrec2:2027464	S
chrec2:3995098	S
chrec2:3446175	S
chrec2:3623808	S
chrec2:3819038	S
chrec2:2409886	S
chrec2:2740466	S
chrec2:4640048	S
chrec2:4610378	S
chrec2:1410831	S
chrec2:141354	S
chrec2:1020624	S
chrec2:3931677	S
chrec2:4443224	S
chrec2:3517308	S
chrec2:1898590	S
chrec2:3645688	S
chrec2:2765287	S
chrec2:2744916	S
chrec2:4036081	S
chrec2:3638788	S
chrec2:4114077	S
chrec2:1706219	S
chrec2:1148213	S
chrec2:1927023	S
chrec2:3078216	S
chrec2:113334	S
chrec2:3385319	S
chrec2:3832159	S
chrec2:485697	S
chrec2:2418856	S
chrec2:1642485	S
chrec2:1875940	S
chrec2:4472033	S
chrec2:4545284	S
chrec2:1669002	S
chrec2:2481807	S
chrec2:4645293	S
chrec2:1110838	S
chrec2:919533	S
chrec2:3153858	S
chrec2:1148362	S
chrec2:3705428	S
chrec2:3804224	S
chrec2:4396241	S
chrec2:2715185	S
chrec2:643293	S
chrec2:3617867	S
chrec2:1018755	S
chrec2:1742899	S
chrec2:1745112	S
chrec2:4446005	S
chrec2:506409	S
chrec2:4266740	S
chrec2:1634431	S
chrec2:404952	S
chrec2:454212	S
chrec2:479653	S
chrec2:1122612	S
chrec2:255911	S
chrec2:3436522	S
chrec2:1835040	S
chrec2:4545364	S
chrec2:2473260	S
chrec2:4421456	S
chrec2:553728	S
