### ChExMix output
#Condition	Name	Index	TotalSigCount	SigCtrlScaling	SignalFraction
#Condition	SAMPLE	0	94171.0	0.608	0.259
#Replicate	ParentCond	Name	Index	SigCount	CtrlCount	SigCtrlScaling	SignalFraction
#Replicate	SAMPLE	SAMPLE:1	0	94171.0	291723.0	0.6082	0.259
#
#Point	SAMPLE_Sig	SAMPLE_Ctrl	SAMPLE_log2Fold	SAMPLE_log2Q	ActiveConds
chrec2:2849139	2822.1	15.8	8.202	-Infinity	1
chrec2:3578552	1324.8	71.3	4.932	-Infinity	1
chrec2:2849260	1103.4	5.8	8.278	-1064.669	1
chrec2:2690019	1102.0	21.5	6.396	-1004.597	1
chrec2:4302908	798.6	8.3	7.305	-749.815	1
chrec2:3434946	736.0	6.8	7.474	-694.726	1
chrec2:2689989	746.7	26.2	5.551	-648.938	1
chrec2:4266383	681.0	11.1	6.661	-629.236	1
chrec2:2849176	554.7	4.5	7.648	-528.274	1
chrec2:3144949	620.8	40.7	4.649	-492.130	1
chrec2:3418805	460.5	8.8	6.424	-417.685	1
chrec2:4072883	436.1	9.5	6.232	-394.270	1
chrec2:3434798	438.8	11.2	6.008	-392.330	1
chrec2:4039580	773.1	214.6	2.567	-364.512	1
chrec2:689661	403.4	12.0	5.791	-352.704	1
chrec2:471758	310.4	2.6	7.628	-292.316	1
chrec2:1564846	318.8	6.0	6.449	-290.231	1
chrec2:1312259	302.9	4.3	6.857	-279.874	1
chrec2:4082290	309.1	9.7	5.716	-270.877	1
chrec2:2836810	296.0	7.1	6.093	-262.976	1
chrec2:848492	287.7	9.0	5.720	-250.622	1
chrec2:2599804	307.5	16.6	4.930	-248.360	1
chrec2:1403898	253.3	2.6	7.302	-236.421	1
chrec2:1369730	222.9	5.3	6.115	-196.768	1
chrec2:3332253	233.8	11.4	5.070	-194.528	1
chrec2:1522703	208.2	3.4	6.654	-187.013	1
chrec2:1873458	204.9	6.6	5.678	-174.051	1
chrec2:2064137	232.5	20.2	4.241	-171.443	1
chrec2:3667746	227.5	20.3	4.202	-166.889	1
chrec2:703859	185.7	4.6	6.039	-165.696	1
chrec2:261351	222.5	20.2	4.176	-162.388	1
chrec2:2831077	181.3	11.9	4.649	-140.845	1
chrec2:884084	155.4	12.6	4.344	-117.550	1
chrec2:374135	127.7	2.1	6.642	-112.945	1
chrec2:2491823	136.9	9.0	4.653	-106.643	1
chrec2:4639497	152.4	22.7	3.466	-97.705	1
chrec2:2325400	108.8	4.7	5.255	-91.263	1
chrec2:2533963	115.4	7.9	4.581	-90.510	1
chrec2:3503305	105.1	6.3	4.770	-84.662	1
chrec2:3044635	98.2	3.8	5.414	-80.823	1
chrec2:2433317	100.5	5.3	4.963	-79.059	1
chrec2:2803356	152.5	38.4	2.707	-75.422	1
chrec2:1868507	86.7	3.2	5.461	-74.350	1
chrec2:2585062	84.9	3.1	5.472	-72.448	1
chrec2:455725	115.4	19.3	3.300	-70.832	1
chrec2:512534	85.9	4.2	5.074	-69.572	1
chrec2:2182878	87.0	5.3	4.753	-67.030	1
chrec2:2608752	76.3	3.3	5.259	-64.850	1
chrec2:4444035	119.3	26.9	2.867	-62.644	1
chrec2:2912996	76.3	4.5	4.807	-61.153	1
chrec2:2105934	70.8	1.9	5.922	-58.204	1
chrec2:1158007	69.9	4.4	4.708	-54.606	1
chrec2:1099507	61.9	1.2	6.396	-54.619	1
chrec2:3834914	88.6	13.7	3.411	-54.116	1
chrec2:3170430	58.0	1.5	6.021	-50.766	1
chrec2:2998898	61.6	4.3	4.561	-47.215	1
chrec2:3013305	53.6	0.8	5.743	-46.917	1
chrec2:2367193	57.5	1.8	5.704	-45.959	1
chrec2:2328018	59.2	3.6	4.746	-44.495	1
chrec2:1466632	43.3	0.0	5.436	-41.798	1
chrec2:817136	51.2	3.2	4.729	-41.285	1
chrec2:4620149	57.8	5.4	4.138	-40.657	1
chrec2:2538827	52.9	4.8	4.171	-39.029	1
chrec2:3674561	52.6	4.5	4.267	-39.052	1
chrec2:3004816	51.5	3.7	4.530	-37.232	1
chrec2:2328060	41.3	0.9	5.367	-34.510	1
chrec2:2373203	40.2	0.4	5.329	-33.565	1
chrec2:3954581	43.1	2.2	5.016	-32.962	1
chrec2:1074473	39.3	1.0	5.957	-32.642	1
chrec2:1841900	41.3	3.2	4.387	-32.068	1
chrec2:3014632	48.3	7.8	3.352	-30.300	1
chrec2:1833780	35.7	1.5	5.282	-29.813	1
chrec2:2755446	42.1	4.5	3.952	-29.187	1
chrec2:551098	30.8	0.0	4.947	-29.101	1
chrec2:485021	65.6	21.2	2.350	-28.909	1
chrec2:2797483	39.7	3.7	4.150	-26.543	1
chrec2:1068871	46.7	9.8	2.973	-26.518	1
chrec2:3349952	41.8	5.1	3.738	-25.852	1
chrec2:3787181	81.2	37.3	1.840	-25.868	1
chrec2:2815864	35.5	4.6	3.674	-23.937	1
chrec2:2216158	32.3	3.3	4.015	-23.930	1
chrec2:3309114	53.7	17.2	2.363	-23.233	1
chrec2:1167533	73.1	35.2	1.774	-21.971	1
chrec2:4553920	35.4	5.6	3.371	-20.792	1
chrec2:1088939	26.3	0.4	4.719	-20.494	1
chrec2:849940	26.3	0.3	4.717	-20.510	1
chrec2:2846682	29.8	1.6	4.894	-20.377	1
chrec2:619304	23.8	1.4	4.840	-18.650	1
chrec2:1619072	23.8	0.5	4.573	-18.667	1
chrec2:1785054	23.6	0.9	4.561	-18.683	1
chrec2:1273972	26.7	3.1	3.847	-18.631	1
chrec2:3372470	25.6	2.8	3.916	-17.746	1
chrec2:2126561	22.0	0.6	4.458	-16.846	1
chrec2:1794178	28.1	6.3	2.883	-15.107	1
chrec2:4142181	27.9	6.2	2.876	-15.122	1
chrec2:2376969	22.5	2.5	3.912	-15.128	1
chrec2:3554981	22.3	2.8	3.688	-15.143	1
chrec2:438686	25.4	3.5	3.560	-14.660	1
chrec2:770391	15.6	0.0	3.963	-14.521	1
chrec2:1354943	19.5	0.7	4.284	-14.143	1
chrec2:48631	18.3	1.6	4.252	-14.157	1
