#2021-07-13 22:29:34.375;RpoN_42˚C-6min_RepMerge.bam;READ1
chrom	index	forward	reverse	value
ec2	14	2	0	2
ec2	53	1	0	1
ec2	201	0	1	1
ec2	207	1	0	1
ec2	221	1	0	1
ec2	377	0	1	1
ec2	418	0	1	1
ec2	437	0	1	1
ec2	438	0	1	1
ec2	577	0	1	1
ec2	630	1	0	1
ec2	634	0	1	1
ec2	635	1	0	1
ec2	749	0	1	1
ec2	1030	1	0	1
ec2	1138	1	0	1
ec2	1165	0	1	1
ec2	1275	0	1	1
ec2	1300	1	0	1
ec2	1399	0	1	1
ec2	1610	0	1	1
ec2	1624	1	0	1
ec2	1655	1	0	1
ec2	1815	0	1	1
ec2	1848	0	1	1
ec2	1890	1	0	1
ec2	1956	0	1	1
ec2	1967	1	0	1
ec2	1987	0	1	1
ec2	2004	0	1	1
ec2	2215	0	1	1
ec2	2240	0	1	1
ec2	2328	1	0	1
ec2	2362	1	0	1
ec2	2392	1	0	1
ec2	2502	1	0	1
ec2	2558	1	0	1
ec2	2578	0	1	1
ec2	2749	1	0	1
ec2	2873	0	1	1
ec2	3008	1	0	1
ec2	3046	1	0	1
ec2	3071	0	1	1
ec2	3102	0	1	1
ec2	3160	0	1	1
ec2	3161	0	1	1
ec2	3185	0	1	1
ec2	3297	0	1	1
ec2	3346	1	0	1
ec2	3522	1	0	1
ec2	3576	1	0	1
ec2	3601	1	0	1
ec2	3624	0	1	1
ec2	3743	0	1	1
ec2	3871	0	1	1
ec2	3895	0	1	1
ec2	3901	0	1	1
ec2	3923	1	0	1
ec2	3985	1	0	1
ec2	4059	1	0	1
ec2	4090	0	1	1
ec2	4095	0	1	1
ec2	4096	0	2	2
ec2	4099	0	1	1
ec2	4134	1	0	1
ec2	4196	1	0	1
ec2	4211	1	1	2
ec2	4306	0	1	1
ec2	4392	0	1	1
ec2	4575	0	1	1
ec2	4728	0	1	1
ec2	4765	1	0	1
ec2	4937	0	1	1
ec2	4984	2	0	2
ec2	5029	1	0	1
ec2	5121	1	0	1
ec2	5600	0	1	1
ec2	5609	1	0	1
ec2	5682	1	0	1
ec2	5749	0	1	1
ec2	5850	1	0	1
ec2	5885	0	1	1
ec2	5924	0	1	1
ec2	5932	1	0	1
ec2	6232	1	0	1
ec2	6242	1	0	1
ec2	6249	0	1	1
ec2	6309	1	0	1
ec2	6335	1	0	1
ec2	6342	1	0	1
ec2	6498	0	1	1
ec2	6502	0	1	1
ec2	6629	1	0	1
ec2	6805	0	1	1
ec2	6900	0	1	1
ec2	6955	0	1	1
ec2	7049	0	1	1
ec2	7073	0	1	1
ec2	7092	0	1	1
ec2	7145	0	1	1
ec2	7325	1	0	1
ec2	7327	0	1	1
ec2	7423	0	1	1
ec2	7453	0	1	1
ec2	7510	1	0	1
ec2	7516	1	0	1
ec2	7517	0	1	1
ec2	7541	1	0	1
ec2	7561	0	1	1
ec2	7576	1	0	1
ec2	7694	1	0	1
ec2	7843	0	1	1
ec2	7847	1	0	1
ec2	7864	0	1	1
ec2	7985	0	1	1
ec2	8009	0	1	1
ec2	8033	1	0	1
ec2	8094	0	1	1
ec2	8161	0	1	1
ec2	8182	1	0	1
ec2	8187	1	0	1
ec2	8188	1	0	1
ec2	8190	0	1	1
ec2	8288	1	0	1
ec2	8289	1	0	1
ec2	8407	0	1	1
ec2	8488	1	0	1
ec2	8617	1	0	1
ec2	8653	0	1	1
ec2	8735	0	1	1
ec2	8737	0	1	1
ec2	8758	0	1	1
ec2	8776	0	1	1
ec2	8784	1	0	1
ec2	8786	1	0	1
